type,year,Y_rec,sd,Tpre,DDpre,Tspawn,DDspawn,DDegg,MLDegg,CSTeggn,CSTeggs,LSTegg,PUTegg,DDyolk,MLDyolk,CSTyolkn,CSTyolks,LSTyolk,PUTyolk,DDlarv,MLDlarv,LSTlarv,DDlate,MLDlate,CSTlaten,CSTlates,LSTlate,PUTlate,DDpjuv,MLDpjuv,CSTpjuvn,CSTpjuvs,LSTpjuv,PUTpjuv,SSHjas,SSHjac,SSHmss,SSHmsc,SSHjas.pre,SSHjac.pre,SSHmsc.pre,SSHmsn.pre
Main_RecrDev,1970,2.30702,0.266986858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1971,-0.0673762,0.837473001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1972,-0.530829,0.791141557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1973,1.877825,0.249198284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1974,-0.978963,0.870550053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1975,0.68569,0.291554389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1976,-1.53336,0.87801099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1977,1.968715,0.239188005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1978,-1.946,0.896944908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1979,0.394847,0.400025995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1980,2.916465,0.215362807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1981,-1.26547,0.875154805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1982,-1.08601,0.714366603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1983,-0.5714255,0.669882516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1984,2.68993,0.216081993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1985,-1.960035,0.843196966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1986,-1.65585,0.817550985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1987,1.925175,0.234327392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1988,0.7740345,0.322987322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1989,-2.16418,0.818166536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1990,1.500465,0.235968286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1991,0.26308,0.358121595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1992,-2.04296,0.854536511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_RecrDev,1993,1.233055,0.232753684,,,8.311134668,298.0021201,829.7182059,24.37232703,-0.014317183,0.002979978,0.006708707,0.010796403,850.2624987,22.09670217,-0.001742731,0.010578593,-0.00305067,0.005103632,656.7168463,17.58618343,-0.002832217,576.1857916,14.21322424,-0.011046735,0.000517715,0.006733866,0.01508376,1999.751198,12.48596241,-0.010426538,0.002973991,-0.0230805,0.033230048,0.124369055,0.110258826,0.132743286,0.079832994,,,,
Main_RecrDev,1994,1.26465,0.235726599,8.104893277,664.4471613,8.272401215,294.5161094,822.7079656,24.49402842,0.007726867,0.023994778,-0.012617161,0.001613857,865.8111305,22.65164084,0.011244317,0.02144216,-0.012939721,-0.003448065,658.1521082,18.16982565,-0.007283719,569.2410914,14.47404627,-0.00604244,-0.005294759,0.006224343,0.017278571,1918.92119,12.83036186,-0.003647184,0.002766721,-0.025645726,0.040307155,0.104508384,0.069240736,0.102121675,0.042685889,0.124369055,0.110258826,0.079832994,0.080872349
Main_RecrDev,1995,0.3079695,0.287185332,7.784604355,595.905332,8.455425571,310.9883014,804.8597212,17.37176369,0.02454301,0.021386094,-0.023165738,-0.0228523,878.1905996,17.05935286,0.02959028,0.024466768,-0.026874692,-0.023377579,682.811818,13.84734902,-0.024691101,582.5228647,13.68389892,0.011491598,0.013913765,-0.014399495,0.006666622,1891.942314,12.54422073,0.013021408,0.008524855,-0.04508376,0.029069904,0.106089885,0.086401409,0.080355827,0.029307383,0.104508384,0.069240736,0.042685889,0.051166493
Main_RecrDev,1996,0.6996405,0.247378357,7.820582442,603.6046427,8.252790499,296.0039354,787.7944987,19.51244028,0.024193433,0.019676374,-0.019721103,-0.002124385,828.7257215,17.84476808,0.021245489,0.014918677,-0.014220954,-0.004118527,659.2396867,14.06721292,-0.001142203,573.8379498,13.19930294,-0.004353027,-0.003355696,0.008260291,0.012082204,1961.388068,12.27513431,-0.006424752,-0.000321228,-0.027737574,0.038106574,0.062304027,0.056572963,0.093474764,0.030072324,0.106089885,0.086401409,0.029307383,0.020482367
Main_RecrDev,1997,0.101917,0.305877767,7.793210334,597.7470115,8.091284941,278.2156447,743.8416557,21.81024654,0.006802033,-0.004774739,0.000894966,0.013759521,766.4624026,20.46312422,0.003079447,-0.010947918,0.008675169,0.011796506,615.1915284,17.25736123,0.026808838,573.3784558,14.36911914,-0.035278098,-0.03482016,0.043008262,0.034685206,2122.809986,12.58731968,-0.039614219,-0.021313252,0.00890582,0.044120163,0.071440037,0.059912231,0.179325035,0.113370557,0.062304027,0.056572963,0.030072324,0.018098849
Main_RecrDev,1998,0.8010245,0.23634098,8.121180897,667.9327119,9.137963898,372.4167508,953.2621791,34.12353984,0.044436021,0.027214028,-0.034939316,-0.026460065,1114.167768,30.23971618,0.037204636,0.033162017,-0.034328898,-0.028474822,829.1230461,22.90064273,-0.034572067,705.9355522,15.70182425,0.012555223,0.014714431,-0.013569322,0.013243863,2073.099918,13.13489243,-0.009245434,-0.001044888,-0.023786471,0.038225151,0.16424107,0.134179724,0.134166993,0.07816525,0.071440037,0.059912231,0.113370557,0.128077478
