year,DDpre,Tpre.a,Tpre.b,DDegg1,DDegg2,DDlarv,DDpjuv,DDbjuv.a,DDbjuv.b,MLDegg,LSTegg1,LSTegg2,LSTlarv,LSTpjuv,LSTbjuv.a,LSTbjuv.b,CSTegg1,CSTegg2,CSTlarv,CSTpjuv,CSTbjuv.a,CSTbjuv.b,year,type,Y_rec,sd
1993,808.340784,6.489573884,10.78729205,1206.452651,1121.495786,1020.450394,953.5200162,1601.981735,1554.239302,17.82033323,0.008615979,0.015952519,-0.032084752,-0.022075578,-0.062702479,-0.022807692,-0.000759537,-0.004781167,0.013234145,0.01223044,-0.005240179,-0.003020119,1993,Main_RecrDev,0.673561,0.224565
1994,736.524213,6.155271282,10.69901919,1222.144046,1093.374879,995.9258341,924.1784252,1555.622835,1531.510791,18.16777943,-0.021560656,-0.003025547,-0.045942083,-0.038768285,-0.095330031,-0.042515431,0.000160998,-0.0055221,-0.001960084,0.000612029,-0.002330843,-0.006063037,1994,Main_RecrDev,0.31437,0.291545
1995,741.9176989,6.137927247,10.56374188,1357.615237,1196.028144,988.2917963,919.1154243,1562.011187,1518.254548,19.29438014,0.005382028,0.0004374,-0.053406791,-0.048968767,-0.097449591,-0.052073354,-0.001178313,-0.008513279,-0.002992999,0.000706662,-0.002847691,-0.00961433,1995,Main_RecrDev,0.300087,0.250938
1996,718.9459037,6.265629588,10.31251925,1331.330268,1177.508677,1010.710011,948.2896023,1493.530832,1471.283575,18.90437439,-0.034504268,-0.016416677,-0.043155945,-0.032093046,-0.094726341,-0.04095584,0.001894951,-0.004879117,-0.006357778,-0.002237563,-0.004149426,-0.008042807,1996,Main_RecrDev,0.0475111,0.279212
1997,863.7004882,6.666691976,11.49929022,1354.917423,1206.670274,1016.10471,937.046817,1754.519932,1667.031445,20.26800816,-0.015032666,0.002198568,-0.017157672,-0.002730087,-0.054725241,-0.005949175,-0.000885577,-0.006063527,0.001160958,0.003071017,-0.002977679,-0.006160232,1997,Main_RecrDev,0.155822,0.250418
1998,895.1373103,6.292582769,11.02869904,1474.212834,1337.164954,1045.854843,992.7899829,1641.369218,1615.809275,27.55121932,-0.011091124,-0.013254093,-0.064374408,-0.053498376,-0.079822052,-0.027005849,-0.003136233,-0.008166825,-0.004280481,0.001898008,-0.006732305,-0.008648111,1998,Main_RecrDev,0.847876,0.150895
1999,780.642164,6.396316792,10.10600904,1147.950868,1058.093107,844.1054585,802.6622533,1372.571937,1389.452703,21.3089673,-0.030734168,-0.018019631,-0.03341581,-0.028035621,-0.102487117,-0.041758445,0.00045495,-0.007034603,-0.003276428,-0.001993931,-0.006004847,-0.007445636,1999,Main_RecrDev,0.390359,0.194931
2000,781.4932864,6.419251189,10.32784798,1212.679539,1091.571911,957.854308,895.1477983,1453.651029,1452.463147,16.27558362,-0.029863347,-0.01634857,-0.027986225,-0.019764035,-0.094445708,-0.047473288,-0.001716651,-0.00342922,-0.007704797,-0.004677017,-0.001407411,-0.009585532,2000,Main_RecrDev,0.0391341,0.210267
2001,763.8560877,6.465014318,10.12901992,1189.85778,1069.28645,895.6427264,841.5728929,1396.906692,1403.560394,18.40548766,-0.020273236,-0.004294057,-0.024017506,-0.018834033,-0.08569444,-0.031818592,-0.00310393,-0.00524096,-0.013364833,-0.010967405,-0.005529426,-0.009356743,2001,Main_RecrDev,-0.0451326,0.192378
2002,749.1168288,6.441865902,9.735268638,1185.243921,1078.179944,852.2813467,791.6493139,1293.808559,1320.441306,17.79661698,-0.024276911,0.000283922,-0.047174482,-0.043022205,-0.10251469,-0.038536822,-0.004098184,-0.005695388,-0.005018599,-0.000104769,-0.006448144,-0.009630196,2002,Main_RecrDev,-0.0316298,0.180595
2003,746.1056802,6.344468996,10.44794599,1332.881861,1203.535365,1000.814306,921.0564343,1489.723203,1479.903797,18.84776155,-0.018514215,-0.013330955,-0.049762681,-0.039723558,-0.077242067,-0.033940278,-4.26E-05,-0.004933985,-0.005221664,-0.004305026,-0.005524464,-0.008008676,2003,Main_RecrDev,-0.0890136,0.188362
2004,757.1371092,6.349635503,10.65103876,1235.769877,1114.807348,1026.733246,947.5184199,1548.78436,1524.483441,17.82713492,-0.044985472,-0.02304291,-0.04836979,-0.04055485,-0.092577573,-0.030396551,-0.007478757,-0.00377051,-0.00717381,-0.004277475,-0.006448764,-0.005198946,2004,Main_RecrDev,0.0924091,0.175162
2005,836.4148963,6.549373079,10.65531114,1309.701923,1202.624063,1034.67532,960.2464434,1577.043964,1540.004162,16.01708413,0.002271208,0.009978015,-0.039281745,-0.032977253,-0.075757607,-0.033912676,-0.00235677,-0.005234473,0.005375384,0.006372121,-0.003366153,-0.008673043,2005,Main_RecrDev,0.318991,0.175071
2006,827.1908962,6.632021378,10.23281324,1253.245715,1142.833653,963.1340294,908.9344284,1443.922344,1449.880748,22.07773699,-0.008632978,0.002193542,-0.010752234,-0.002226998,-0.075802662,-0.015393167,0.003050023,-0.007392924,-0.005343385,-0.001884186,-0.004341182,-0.013362681,2006,Main_RecrDev,1.01206,0.129399
2007,751.1334269,6.416489478,10.15479825,1122.946484,1041.855781,876.321697,822.7736388,1413.604825,1409.459296,16.19713945,-0.062853958,-0.033965266,-0.063151176,-0.052740725,-0.097924655,-0.038928972,-0.000477966,-0.002334812,4.80E-06,0.00073449,-0.000423823,-0.007181516,2007,Main_RecrDev,1.00451,0.149598
2008,746.5268054,6.576452529,9.868658516,1066.602955,960.7301207,790.605907,743.0908173,1308.313615,1318.294982,14.75808287,-0.055428771,-0.01807347,-0.04276425,-0.028674361,-0.082570032,-0.028230285,-0.001282702,-0.000507747,-0.004758594,-0.001366606,-0.005572465,-0.007700024,2008,Main_RecrDev,1.10222,0.136055
2009,778.4796084,6.743583106,10.26151321,1094.181069,1016.950356,842.5727381,783.0066636,1386.490591,1403.197623,15.76273872,-0.027223516,0.001372415,-0.025471185,-0.014921394,-0.072050829,-0.023162885,-0.005422338,-0.003581436,-0.00374234,0.001111088,-0.006597108,-0.005597593,2009,Main_RecrDev,0.297911,0.233053
2010,718.1738834,6.377978027,10.11805594,1308.372138,1168.615865,941.9769235,881.9426993,1434.825133,1415.996043,21.78503443,0.009427318,0.008862943,-0.063460833,-0.05771133,-0.092000319,-0.046304692,-0.000509609,-0.007655161,-0.000329882,0.003795002,-0.00629521,-0.007068855,2010,Main_RecrDev,0.0733472,0.239545
2011,720.7359411,6.406393491,10.189762,1126.300781,1012.370292,861.7901167,807.495762,1428.28685,1408.827603,18.24661944,-0.058455158,-0.033262104,-0.028174752,-0.022199117,-0.088717794,-0.038294695,-0.004080972,-0.001613242,0.00309757,0.003617162,-0.00379717,-0.005135483,2011,Main_RecrDev,0.0941341,0.224423
2012,739.7463459,6.533046925,9.992910857,1179.781091,1057.482804,837.8683243,787.2059875,1378.255671,1374.459655,18.73035283,-0.002445418,0.004662604,-0.031718735,-0.027555872,-0.070274082,-0.016526018,0.00191034,-0.007856941,0.00207078,0.00203899,-0.004496472,-0.007073921,2012,Main_RecrDev,0.555953,0.154612
2013,757.2905784,6.452580855,10.33848806,1078.520413,968.0794588,892.8666294,829.7405129,1474.909215,1440.099917,13.71343481,-0.067909887,-0.026938169,-0.033166896,-0.021366779,-0.077027169,-0.020085972,-0.009011768,0.000611619,-0.003866609,-0.002346387,-0.004670492,-0.006111435,2013,Main_RecrDev,-0.244678,0.273715
2014,837.5545675,6.832269475,10.95258593,1359.46419,1195.771167,994.7136107,907.4933169,1588.84188,1567.313973,16.59389432,0.001785946,0.019493223,-0.02995393,-0.033350646,-0.044428966,0.01089069,0.000166355,-0.005620939,-0.006971676,-0.0026313,-0.005102005,-0.015698967,2014,Main_RecrDev,0.107693,0.226139
2015,820.7083221,6.86991194,11.10114618,1503.936334,1353.794962,1080.284721,1003.204507,1623.433963,1623.627603,16.90599993,-0.046617206,-0.013259362,-0.045243201,-0.043527507,-0.058657222,-0.003635138,-0.002295345,-0.0035295,-0.018423909,-0.015334445,-0.007040281,-0.010356028,2015,Main_RecrDev,0.0947805,0.228766
2016,819.1082796,6.37615678,10.85030691,1537.563209,1375.090238,1076.68038,1003.813782,1597.263617,1594.058759,21.78493256,-0.00288445,0.001654906,-0.052013166,-0.04160839,-0.083460182,-0.027782758,-0.000104607,-0.005329255,-0.00844022,-0.006270116,-0.009692495,-0.006526881,2016,Main_RecrDev,-0.309834,0.269624
2017,850.0126832,6.684892471,10.91199624,1309.207437,1210.879246,971.7172825,917.9962482,1564.682375,1570.820824,19.46830321,0.00765802,0.013605538,-0.033779914,-0.032732952,-0.093655546,-0.043130478,2.58E-05,-0.006972325,-0.00357583,-0.005163267,-0.007211944,-0.007796153,2017,Main_RecrDev,-0.442892,0.285425
2018,841.6474256,6.553798594,10.75831824,1297.799721,1172.571203,964.8954045,903.9713177,1529.310916,1538.646912,16.58251835,-0.018132503,0.006039089,-0.039571911,-0.032316663,-0.090329032,-0.033828136,-0.000848466,-0.006180611,-0.007320277,-0.005974054,-0.007929851,-0.004450983,2018,Main_RecrDev,-0.338103,0.311796
2019,862.0316683,6.63174835,10.92991074,1284.363407,1209.744162,961.5339512,906.9650822,1666.540644,1591.951349,17.16742325,0.017129484,0.029197366,-0.051236385,-0.052207134,-0.046299162,-0.004119566,-0.008200279,-0.005697312,-0.017560099,-0.017523632,-0.006387367,-0.01208301,2019,Main_RecrDev,-0.178734,0.362514
2020,872.3070137,6.651886293,10.67490997,1210.834807,1121.282974,943.2743829,875.7715184,1563.811546,1511.380784,15.02347025,-0.007743659,0.015808892,-0.059119332,-0.055481676,-0.048470741,-0.011721533,-0.005618976,-0.005846144,-0.005476328,-0.00058586,-0.000418986,-0.010051109,2020,Main_RecrDev,-0.150512,0.441498
2021,830.4977511,6.73578233,10.39929694,1217.39801,1129.613503,883.626273,827.9980874,1452.605749,1443.046203,16.47026523,-0.011598456,0.010549009,-0.050561556,-0.040310026,-0.03426551,0.005318709,-0.005470598,-0.002355639,-0.005558455,-0.004091987,-0.005953125,-0.007902547,2021,Late_RecrDev,-0.0378931,0.48747
2022,811.3322593,6.626069449,10.30008693,1132.595692,1057.48941,889.4951018,840.6677272,1462.515145,1429.590395,15.06661149,-0.007078094,0.008920389,-0.044496814,-0.03909677,-0.032280404,-0.006526919,-0.004077197,-0.002699063,-0.013103407,-0.013557516,-0.003147977,-0.004722036,2022,Late_RecrDev,0,0.5
2023,884.2282297,6.894722551,10.74872429,1246.66148,1150.859575,862.6622684,814.6445955,1537.237096,1509.828598,18.51743061,0.029849764,0.036375294,-0.019055133,-0.015525125,-0.026048218,0.017620065,-0.002314012,-0.006348186,-0.002816494,-0.000206774,-0.004926994,-0.011117857,2023,Late_RecrDev,NA,NA
