"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"1",1,"Sablefish",1.565,0.0398,93.1779999621155,0.44,"DDpre  ",1.787,1.368
"2",2,"Sablefish",1.579,0.0016,94.1184114194407,0.44,"Tpre  ",1.413,1.246
"3",3,"Sablefish",1.575,0.0643,93.5047856928373,0.24,"DDegg  ",1.629,1.421
"4",4,"Sablefish",1.531,0.0332,93.3134667836879,0.44,"Tspawn  ",1.593,1.338
"5",5,"Sablefish",1.592,0.0677,93.3585809455745,0.28,"DDyolk  ",1.748,1.493
"6",6,"Sablefish",1.547,0.0096,93.9168113192864,0.36,"DDlarv  ",1.596,1.375
"7",7,"Sablefish",1.639,0.047,92.9547359720302,0.4,"DDpjuv  ",1.783,1.463
"8",8,"Sablefish",1.673,0.1023,92.7624484697372,0.44,"DDbjuv  ",1.482,1.311
"9",9,"Sablefish",1.496,0.0039,94.0598601537814,0.56,"MLDegg  ",1.27,1.166
"10",10,"Sablefish",1.526,0.0019,94.112377072892,0.44,"LSTegg  ",1.291,1.209
"11",11,"Sablefish",1.553,0.017,93.7288687305844,0.36,"LSTyolk  ",1.328,1.356
"12",12,"Sablefish",1.503,0.0394,93.1528695722451,0.44,"LSTlarv  ",1.336,1.183
"13",13,"Sablefish",1.507,0.0908,91.9452995473053,0.48,"LSTpjuv  ",1.195,1.066
"14",14,"Sablefish",1.426,0.3021,86.9582476119872,0.6,"LSTbjuv  ",1.05,1.164
"15",15,"Sablefish",1.436,0.1784,90.6108088104773,0.48,"CSTegg  ",1.487,1.388
"16",16,"Sablefish",1.449,0.1354,91.9886275734298,0.56,"CSTyolk  ",1.334,1.581
"17",17,"Sablefish",1.497,0.0485,92.9473059762965,0.32,"CSTlarv  ",1.212,1.239
"18",18,"Sablefish",1.472,0.1539,90.7946161053071,0.6,"CSTpjuv  ",1.457,1.32
"19",19,"Sablefish",1.588,0.0602,92.6066816250884,0.52,"CSTbjuv  ",1.425,1.276
"20",20,"Sablefish",1.721,0.0423,95.0769877434855,0.36,"DDpre Tpre ",1.787,1.368
"21",21,"Sablefish",1.65,0.1207,94.1155976911782,0.48,"DDegg DDpre ",1.629,1.421
"22",22,"Sablefish",1.777,0.1443,93.5284474532721,0.44,"DDpre Tspawn ",1.787,1.368
"23",23,"Sablefish",1.668,0.1106,94.2942478722503,0.48,"DDpre DDyolk ",1.787,1.368
"24",24,"Sablefish",1.644,0.0434,95.049208532613,0.4,"DDlarv DDpre ",1.596,1.375
"25",25,"Sablefish",1.597,0.0625,94.8026566343582,0.48,"DDpre MLDegg ",1.787,1.368
"26",26,"Sablefish",1.621,0.0404,95.1265897380243,0.44,"DDpre LSTegg ",1.787,1.368
"27",27,"Sablefish",1.683,0.0529,94.801071023203,0.4,"DDpre LSTyolk ",1.787,1.368
"28",28,"Sablefish",1.588,0.0756,94.1939748415764,0.4,"DDpre LSTlarv ",1.787,1.368
"29",29,"Sablefish",1.533,0.1884,92.2299024092434,0.44,"CSTegg DDpre ",1.487,1.388
"30",30,"Sablefish",1.541,0.1622,93.1414736645817,0.48,"CSTyolk DDpre ",1.334,1.581
"31",31,"Sablefish",1.544,0.1028,93.4460783096434,0.4,"CSTlarv DDpre ",1.212,1.239
"32",32,"Sablefish",1.504,0.1398,92.39249330737,0.56,"CSTpjuv DDpre ",1.457,1.32
"33",33,"Sablefish",1.613,0.2043,91.6118552600053,0.44,"CSTbjuv DDpre ",1.425,1.276
"34",34,"Sablefish",1.706,0.054,94.7713404582122,0.44,"Tpre Tspawn ",1.413,1.246
"35",35,"Sablefish",1.865,0.0695,94.3579405981395,0.32,"DDpjuv Tpre ",1.783,1.463
"36",36,"Sablefish",1.829,0.1076,94.6104835760558,0.4,"DDbjuv Tpre ",1.482,1.311
"37",37,"Sablefish",1.62,0.0057,96.0159480212856,0.24,"LSTegg Tpre ",1.291,1.209
"38",38,"Sablefish",1.634,0.02,95.6532772003059,0.28,"LSTyolk Tpre ",1.328,1.356
"39",39,"Sablefish",1.579,0.0478,94.93527277153,0.36,"LSTlarv Tpre ",1.336,1.183
"40",40,"Sablefish",1.629,0.0885,93.8509132156433,0.44,"LSTpjuv Tpre ",1.195,1.066
"41",41,"Sablefish",1.455,0.3123,88.5922423534554,0.56,"LSTbjuv Tpre ",1.05,1.164
"42",42,"Sablefish",1.741,0.184,92.4409293111965,0.36,"CSTegg Tpre ",1.487,1.388
"43",43,"Sablefish",1.637,0.1351,93.9690363682959,0.44,"CSTyolk Tpre ",1.334,1.581
"44",44,"Sablefish",1.617,0.0473,94.9477550084568,0.32,"CSTlarv Tpre ",1.212,1.239
"45",45,"Sablefish",1.783,0.1529,92.784679673324,0.6,"CSTpjuv Tpre ",1.457,1.32
"46",46,"Sablefish",1.646,0.0605,94.5988996880247,0.48,"CSTbjuv Tpre ",1.425,1.276
"47",47,"Sablefish",1.608,0.1312,93.919184472805,0.44,"DDegg Tspawn ",1.629,1.421
"48",48,"Sablefish",1.843,0.1498,94.0666628106407,0.4,"DDbjuv DDegg ",1.482,1.311
