"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"1",1,"Hake",1.878,0.0134,105.613022235514,0.4,"MLDyolk  ",2.07965233,1.79569952,5.83565233
"2",2,"Hake",1.874,0.0176,105.506192245459,0.52,"DDlarv  ",2.11367847,1.803154,5.86167847
"3",3,"Hake",1.906,0.0259,105.294507038199,0.4,"SSHjas.pre  ",2.36781091,2.13703731,6.17981091
"4",4,"Hake",1.886,0.0304,105.178173786534,0.44,"SSHmsn.pre  ",2.23119772,1.86152939,6.00319772
"5",5,"Hake",2.079,0.0243,105.333471568645,0.32,"SSHmsc  ",2.30182088,1.96884065,6.45982088
"6",6,"Hake",1.867,0.0383,104.974096464773,0.56,"CSTlaten  ",2.03635508,1.76311388,5.77035508
"7",7,"Hake",2.125,0.0313,105.589281999183,0.4,"SSHmss  ",1.95995918,1.82521795,6.65192809
"8",8,"Hake",1.869,0.0413,104.894978798552,0.44,"PUTpjuv  ",2.05482518,1.80778137,5.69795918
"9",9,"Hake",1.87,0.0309,105.165677602012,0.4,"DDyolk  ",2.14604144,1.79517051,5.89665205
"10",10,"Hake",2.165,0.0115,105.661044792613,0.48,"LSTegg  ",2.08773897,1.96043823,6.38482518
"11",11,"Hake",1.97,0.0348,105.599965558284,0.36,"CSTpjuvs  ",2.08466668,1.9765847,6.05078022
"12",12,"Hake",2.011,0.042,104.875932221847,0.32,"MLDlarv  ",2.53887298,2.12736061,6.16804144
"13",13,"Hake",2.062,0.0423,105.599824325736,0.2,"Tspawn  ",2.07965233,1.79569952,6.21173897
"14",14,"Hake",2.037,0.0491,105.511303827588,0.16,"DDspawn  ",2.07965233,1.79569952,6.15866668
"15",15,"Hake",1.937,0.0652,104.902384932162,0.4,"PUTlate  ",2.03635508,1.76311388,5.91483663
"16",16,"Hake",1.977,0.0821,104.909014462999,0.2,"SSHjac.pre  ",2.07965233,1.79569952,6.13152783
"17",17,"Hake",1.882,0.0901,103.588657596291,0.56,"MLDpjuv  ",2.05482518,1.80778137,6.30287298
"18",18,"Hake",1.935,0.0938,104.74058440483,0.32,"Tpre  ",2.08466668,1.9765847,5.95000486
"19",19,"Hake",1.935,0.0938,104.740584410647,0.32,"DDpre  ",2.53887298,2.12736061,5.95000486
"20",20,"Hake",1.846,0.1346,102.945270405719,0.32,"MLDlate  ",2.11367847,1.803154,5.95703168
"21",21,"Hake",1.967,0.1217,104.106329348784,0.56,"CSTeggs  ",2.11367847,1.803154,5.97231382
"22",22,"Hake",1.918,0.0408,106.907229499088,0.32,"MLDyolk SSHjas.pre ",2.11367847,1.803154,5.91565233
"23",23,"Hake",2.088,0.0362,107.027605510623,0.24,"MLDyolk SSHmsc ",2.11367847,1.803154,6.25565233
"24",24,"Hake",1.892,0.0411,106.900146324582,0.52,"CSTlaten MLDyolk ",2.11367847,1.803154,5.82035508
"25",25,"Hake",2.139,0.0307,107.347600721965,0.24,"MLDyolk SSHmss ",2.36781091,2.13703731,6.35765233
"26",26,"Hake",1.891,0.0537,106.568778993736,0.44,"MLDyolk PUTpjuv ",2.36781091,2.13703731,5.86165233
"27",27,"Hake",2.467,0.1897,106.018958702679,0.44,"LSTegg MLDyolk ",2.03635508,1.76311388,6.98882518
"28",28,"Hake",1.976,0.0888,106.656386317057,0.32,"CSTpjuvs MLDyolk ",1.95995918,1.82521795,6.06278022
"29",29,"Hake",2.153,0.0573,107.241260597406,0.24,"DDspawn MLDyolk ",2.05482518,1.80778137,6.39066668
"30",30,"Hake",1.964,0.0846,106.49952653046,0.44,"MLDyolk PUTlate ",2.14604144,1.79517051,6.00765233
"31",31,"Hake",2.003,0.0938,106.569147611095,0.2,"MLDyolk SSHjac.pre ",2.36781091,2.13703731,6.08565233
"32",32,"Hake",2.116,0.0915,105.54949355109,0.44,"MLDpjuv MLDyolk ",2.08466668,1.9765847,6.77087298
"33",33,"Hake",1.948,0.1105,106.254653868884,0.32,"MLDyolk Tpre ",2.53887298,2.12736061,5.97565233
"34",34,"Hake",1.948,0.1105,106.254653874755,0.32,"DDpre MLDyolk ",2.30182088,1.96884065,5.97600486
"35",35,"Hake",1.937,0.1787,104.566960248466,0.48,"CSTeggs MLDyolk ",2.03635508,1.76311388,5.91231382
"36",36,"Hake",1.93,0.0354,107.049311274952,0.4,"DDlarv SSHjas.pre ",1.95995918,1.82521795,5.97367847
"37",37,"Hake",2.093,0.0567,106.645940815848,0.4,"DDlarv SSHmsc ",2.05482518,1.80778137,6.29967847
"38",38,"Hake",2.149,0.0654,106.880124281197,0.36,"DDlarv SSHmss ",2.14604144,1.79517051,6.41167847
"39",39,"Hake",1.892,0.0522,106.610439688811,0.44,"DDlarv PUTpjuv ",2.53887298,2.12736061,5.89767847
"40",40,"Hake",1.992,0.0494,107.213486527328,0.32,"CSTpjuvs DDlarv ",1.95995918,1.82521795,6.09478022
"41",41,"Hake",2.247,0.0453,106.789362504031,0.28,"DDlarv MLDlarv ",2.05482518,1.80778137,6.60767847
"42",42,"Hake",1.98,0.1154,106.12911840884,0.36,"DDlarv SSHjac.pre ",2.14604144,1.79517051,6.07367847
"43",43,"Hake",2.157,0.0921,105.534953927266,0.48,"DDlarv MLDpjuv ",2.30182088,1.96884065,6.42767847
"44",44,"Hake",1.942,0.1307,105.772800955974,0.44,"DDlarv Tpre ",2.08466668,1.9765847,5.99767847
"45",45,"Hake",1.942,0.1307,105.772800960183,0.44,"DDlarv DDpre ",2.53887298,2.12736061,5.99767847
"46",46,"Hake",1.911,0.1332,104.856625255746,0.24,"DDlarv MLDlate ",2.03635508,1.76311388,5.93567847
"47",47,"Hake",1.874,0.2549,102.287472794512,0.64,"CSTeggs DDlarv ",2.03635508,1.76311388,5.78631382
"48",48,"Hake",1.932,0.0418,106.882717049146,0.4,"SSHjas.pre SSHmsn.pre ",2.03635508,1.76311388,6.23181091
"49",49,"Hake",2.136,0.0659,106.371192065393,0.44,"SSHjas.pre SSHmsc ",2.05482518,1.80778137,6.63981091
"50",50,"Hake",1.91,0.0699,106.137535903948,0.44,"CSTlaten SSHjas.pre ",2.14604144,1.79517051,5.85635508
"51",51,"Hake",2.177,0.0788,106.528653094913,0.32,"SSHjas.pre SSHmss ",1.95995918,1.82521795,6.72181091
"52",52,"Hake",1.884,0.1011,105.284405946136,0.56,"PUTpjuv SSHjas.pre ",2.08466668,1.9765847,5.72795918
"53",53,"Hake",1.918,0.0461,106.768742966894,0.4,"DDyolk SSHjas.pre ",2.53887298,2.12736061,5.99265205
"54",54,"Hake",2.206,0.038,106.981925042744,0.36,"LSTegg SSHjas.pre ",2.05482518,1.80778137,6.46682518
"55",55,"Hake",2.014,0.076,106.678319247795,0.28,"CSTpjuvs SSHjas.pre ",2.05482518,1.80778137,6.13878022
"56",56,"Hake",2.008,0.0685,106.176526290844,0.32,"MLDlarv SSHjas.pre ",2.08466668,1.9765847,6.16204144
"57",57,"Hake",2.046,0.11,106.208882045687,0.44,"SSHjas.pre Tspawn ",2.05482518,1.80778137,6.45981091
"58",58,"Hake",2.018,0.1097,106.214697060193,0.44,"DDspawn SSHjas.pre ",2.14604144,1.79517051,6.12066668
"59",59,"Hake",1.998,0.0896,106.069054830496,0.52,"PUTlate SSHjas.pre ",2.08466668,1.9765847,6.03683663
"60",60,"Hake",1.951,0.093,105.509389002026,0.52,"MLDpjuv SSHjas.pre ",2.53887298,2.12736061,6.44087298
"61",61,"Hake",1.9,0.1297,104.734826846794,0.4,"MLDlate SSHjas.pre ",2.08466668,1.9765847,6.06503168
"62",62,"Hake",2.05,0.1347,105.635163558648,0.48,"CSTeggs SSHjas.pre ",2.07965233,1.79569952,6.13831382
"63",63,"Hake",2.085,0.0769,105.949858505465,0.44,"SSHmsc SSHmsn.pre ",2.03635508,1.76311388,6.47182088
"64",64,"Hake",1.944,0.0535,106.573932335475,0.52,"CSTlaten SSHmsn.pre ",2.07965233,1.79569952,5.92435508
"65",65,"Hake",2.138,0.0823,106.330178051348,0.32,"SSHmsn.pre SSHmss ",2.05482518,1.80778137,6.50719772
"66",66,"Hake",1.936,0.0647,106.372105045789,0.4,"PUTpjuv SSHmsn.pre ",2.08466668,1.9765847,5.83195918
"67",67,"Hake",2.077,0.0693,106.154719089894,0.56,"LSTegg SSHmsn.pre ",2.53887298,2.12736061,6.20882518
"68",68,"Hake",1.998,0.0808,106.595638276916,0.36,"CSTpjuvs SSHmsn.pre ",2.07965233,1.79569952,6.10678022
"69",69,"Hake",2.237,0.0513,106.634000013977,0.24,"MLDlarv SSHmsn.pre ",2.05482518,1.80778137,6.62004144
"70",70,"Hake",1.963,0.0927,106.363367965361,0.4,"PUTlate SSHmsn.pre ",2.08466668,1.9765847,5.96683663
"71",71,"Hake",1.983,0.1179,106.012197389836,0.32,"SSHjac.pre SSHmsn.pre ",2.53887298,2.12736061,6.14352783
"72",72,"Hake",2.173,0.0968,105.404818718776,0.52,"MLDpjuv SSHmsn.pre ",2.03635508,1.76311388,6.88487298
"73",73,"Hake",1.969,0.1298,105.693497586565,0.44,"SSHmsn.pre Tpre ",2.03635508,1.76311388,6.16919772
"74",74,"Hake",1.969,0.1298,105.693497591067,0.44,"DDpre SSHmsn.pre ",2.05482518,1.80778137,6.01800486
