"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"1",1,"Petrale Sole",0.455,6e-04,32.4117136657964,0.68,"DDpre  ",0.58378999,0.46309502,1.494
"2",2,"Petrale Sole",0.437,8e-04,32.4064830726464,0.72,"Tpre.a  ",0.550227,0.45983282,1.432
"3",3,"Petrale Sole",0.452,0.0839,30.3847562543331,0.64,"Tpre.b  ",0.51309359,0.4282422,1.345
"4",4,"Petrale Sole",0.461,0.0684,30.6570885309716,0.64,"DDegg1  ",0.54753561,0.44333588,1.428
"5",5,"Petrale Sole",0.463,0.0579,30.9366304536887,0.68,"DDegg2  ",0.50279173,0.47379366,1.432
"6",6,"Petrale Sole",0.45,0.1475,29.4218519392137,0.68,"DDlarv  ",0.46542383,0.44165921,1.404
"7",7,"Petrale Sole",0.459,0.1423,29.6854422512764,0.68,"DDpjuv  ",0.43879142,0.42588293,1.456
"8",8,"Petrale Sole",0.454,0.1115,30.3258177150403,0.68,"DDbjuv.a  ",0.51887463,0.43713446,1.357
"9",9,"Petrale Sole",0.458,0.1001,30.1834973936336,0.64,"DDbjuv.b  ",0.55260586,0.46390328,1.356
"10",10,"Petrale Sole",0.469,0.1296,30.281540437836,0.72,"MLDegg  ",0.56662163,0.42637825,1.437
"11",11,"Petrale Sole",0.451,0.0303,31.6569989763647,0.72,"LSTegg1  ",0.50656675,0.63758781,1.391
"12",12,"Petrale Sole",0.442,0.0594,30.897351020175,0.72,"LSTegg2  ",0.46718358,0.42374213,1.346
"13",13,"Petrale Sole",0.445,0.2269,27.6860483935839,0.68,"LSTlarv  ",0.41937974,0.39949727,1.321
"14",14,"Petrale Sole",0.472,0.1404,30.1319633508902,0.72,"LSTpjuv  ",0.37396257,0.34929879,1.405
"15",15,"Petrale Sole",0.436,0.0023,32.370189013957,0.72,"LSTbjuv.a  ",0.5591298,0.44288574,1.389
"16",16,"Petrale Sole",0.437,0.0108,32.1550772928162,0.72,"LSTbjuv.b  ",0.58378999,0.46309502,1.425
"17",17,"Petrale Sole",0.426,0.063,30.8014940386041,0.68,"CSTegg1  ",0.51309359,0.4282422,1.422
"18",18,"Petrale Sole",0.54,0.0725,31.6393833822185,0.68,"CSTegg2  ",0.58378999,0.46309502,1.583
"19",19,"Petrale Sole",0.42,0.0706,30.5971348306345,0.68,"CSTlarv  ",0.58378999,0.46309502,1.307
"20",20,"Petrale Sole",0.41,0.1434,28.5569881089478,0.72,"CSTpjuv  ",0.58378999,0.46309502,1.24
"21",21,"Petrale Sole",0.424,0.1635,27.9632270940909,0.76,"CSTbjuv.a  ",0.58378999,0.46309502,1.218
"22",22,"Petrale Sole",0.444,0.0499,31.1486905667411,0.72,"CSTbjuv.b  ",0.58378999,0.46309502,1.446
"23",23,"Petrale Sole",0.494,0.001,34.4025943178623,0.68,"DDpre Tpre.a ",0.56662163,0.42637825,1.572
"24",24,"Petrale Sole",0.482,0.1857,30.7763952396038,0.64,"DDlarv DDpre ",0.50656675,0.63758781,NA
"25",25,"Petrale Sole",0.482,0.1837,30.8672065917674,0.68,"DDpre MLDegg ",0.46718358,0.42374213,NA
"26",26,"Petrale Sole",0.478,0.0321,33.6116307730313,0.72,"DDpre LSTegg1 ",0.41937974,0.39949727,NA
"27",27,"Petrale Sole",0.462,0.0665,32.7078631961757,0.72,"DDpre LSTegg2 ",0.37396257,0.34929879,NA
"28",28,"Petrale Sole",0.474,0.2434,29.1590524612705,0.68,"DDpre LSTlarv ",0.5591298,0.44288574,NA
"29",29,"Petrale Sole",0.506,0.152,31.8092922277289,0.68,"DDpre LSTpjuv ",0.51309359,0.4282422,NA
