"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"1",1,"Sablefish",1.604,0.0367,90.6738162246738,0.416666666666667,"DDpre  ",1.40298752,1.2361816,4.995
"2",2,"Sablefish",1.622,0.0018,91.5272743799904,0.375,"Tpre  ",1.5932116,1.33666149,4.657
"3",3,"Sablefish",1.607,0.0728,90.8164599380605,0.25,"DDegg  ",1.57327189,1.35891122,4.843
"4",4,"Sablefish",1.571,0.0316,90.7998623637528,0.416666666666667,"Tspawn  ",1.74392565,1.43421252,4.735
"5",5,"Sablefish",1.624,0.0786,90.6350657270438,0.291666666666667,"DDyolk  ",1.25917847,1.15302798,4.996
"6",6,"Sablefish",1.588,0.0099,91.329711600503,0.333333333333333,"DDlarv  ",1.27779859,1.19580117,4.772
"7",7,"Sablefish",1.675,0.0485,90.3752808562965,0.416666666666667,"DDpjuv  ",1.32763276,1.17233443,5.133
"8",8,"Sablefish",1.714,0.0995,90.3121623984484,0.416666666666667,"DDbjuv  ",1.19005148,1.05893525,4.91
"9",9,"Sablefish",1.529,0.0037,91.4799763278515,0.5,"MLDegg  ",1.04552781,1.16362404,4.328
"10",10,"Sablefish",1.559,0.0019,91.5236645617227,0.375,"LSTegg  ",1.44196766,1.32561473,4.409
"11",11,"Sablefish",1.581,0.0172,91.153570146116,0.291666666666667,"LSTyolk  ",1.30898311,1.51727085,4.49
"12",12,"Sablefish",1.536,0.0389,90.616301499484,0.416666666666667,"LSTlarv  ",1.40298752,1.2361816,4.408
"13",13,"Sablefish",1.54,0.0861,89.4975700566238,0.458333333333333,"LSTpjuv  ",1.74392565,1.43421252,4.275
"14",14,"Sablefish",1.467,0.3005,84.7724932141602,0.583333333333333,"LSTbjuv  ",1.27779859,1.19580117,3.984
"15",15,"Sablefish",1.463,0.1883,87.9460563558878,0.5,"CSTegg  ",1.32763276,1.17233443,4.413
"16",16,"Sablefish",1.484,0.1342,89.5509599023763,0.541666666666667,"CSTyolk  ",1.19005148,1.05893525,4.302
"17",17,"Sablefish",1.537,0.0539,90.4007185871148,0.25,"CSTlarv  ",1.04552781,1.16362404,4.286
"18",18,"Sablefish",1.507,0.15,88.3822029774523,0.583333333333333,"CSTpjuv  ",1.44196766,1.32561473,4.471
"19",19,"Sablefish",1.612,0.066,89.9306044598072,0.541666666666667,"CSTbjuv  ",1.30898311,1.51727085,4.649
"20",20,"Sablefish",1.763,0.0406,92.5736344815525,0.333333333333333,"DDpre Tpre ",1.57327189,1.35891122,5.313
"21",21,"Sablefish",1.696,0.1208,91.6369619491501,0.458333333333333,"DDegg DDpre ",1.74392565,1.43421252,5.021
"22",22,"Sablefish",1.824,0.1423,91.1197108290621,0.416666666666667,"DDpre Tspawn ",1.25917847,1.15302798,5.435
"23",23,"Sablefish",1.715,0.1122,91.7793488702958,0.416666666666667,"DDpre DDyolk ",1.27779859,1.19580117,5.217
"24",24,"Sablefish",1.691,0.0417,92.5466566278173,0.375,"DDlarv DDpre ",1.32763276,1.17233443,4.978
"25",25,"Sablefish",1.636,0.058,92.3227710773609,0.458333333333333,"DDpre MLDegg ",1.19005148,1.05893525,5.059
"26",26,"Sablefish",1.663,0.0387,92.6212399347877,0.375,"DDpre LSTegg ",1.04552781,1.16362404,5.113
"27",27,"Sablefish",1.718,0.0512,92.3087133574095,0.375,"DDpre LSTyolk ",1.44196766,1.32561473,5.223
"28",28,"Sablefish",1.628,0.074,91.7245306273883,0.375,"DDpre LSTlarv ",1.30898311,1.51727085,5.043
"29",29,"Sablefish",1.576,0.1931,89.7182786310075,0.375,"CSTegg DDpre ",1.57327189,1.35891122,4.639
"30",30,"Sablefish",1.584,0.1597,90.7719691718546,0.458333333333333,"CSTyolk DDpre ",1.57327189,1.35891122,4.502
"31",31,"Sablefish",1.581,0.1017,90.9960236420286,0.375,"CSTlarv DDpre ",1.57327189,1.35891122,4.374
"32",32,"Sablefish",1.542,0.1386,89.9890032575945,0.541666666666667,"CSTpjuv DDpre ",1.57327189,1.35891122,4.541
"33",33,"Sablefish",1.659,0.2138,89.0127313106393,0.458333333333333,"CSTbjuv DDpre ",1.57327189,1.35891122,4.743
"34",34,"Sablefish",1.746,0.0523,92.2799631858899,0.416666666666667,"Tpre Tspawn ",1.44196766,1.32561473,4.905
"35",35,"Sablefish",1.92,0.0726,91.7607720064451,0.291666666666667,"DDpjuv Tpre ",1.30898311,1.51727085,5.623
"36",36,"Sablefish",1.883,0.1053,92.1540239127217,0.375,"DDbjuv Tpre ",1.74392565,1.43421252,5.248
"37",37,"Sablefish",1.663,0.0061,93.4237363781935,0.166666666666667,"LSTegg Tpre ",1.74392565,1.43421252,4.617
"38",38,"Sablefish",1.671,0.0204,93.0755586731008,0.25,"LSTyolk Tpre ",1.74392565,1.43421252,4.67
"39",39,"Sablefish",1.619,0.0475,92.4013280623986,0.375,"LSTlarv Tpre ",1.74392565,1.43421252,4.574
"40",40,"Sablefish",1.667,0.0865,91.3977595145096,0.416666666666667,"LSTpjuv Tpre ",1.74392565,1.43421252,4.529
"41",41,"Sablefish",1.499,0.3108,86.4154975839291,0.541666666666667,"LSTbjuv Tpre ",1.44196766,1.32561473,4.048
"42",42,"Sablefish",1.841,0.1936,89.7833121840646,0.375,"CSTegg Tpre ",1.30898311,1.51727085,5.169
"43",43,"Sablefish",1.69,0.1338,91.5303670422443,0.416666666666667,"CSTyolk Tpre ",1.32763276,1.17233443,4.714
"44",44,"Sablefish",1.669,0.0527,92.3964749288579,0.25,"CSTlarv Tpre ",1.19005148,1.05893525,4.55
"45",45,"Sablefish",1.849,0.1486,90.3766812901666,0.5,"CSTpjuv Tpre ",1.04552781,1.16362404,5.155
"46",46,"Sablefish",1.671,0.0663,91.9232196413645,0.541666666666667,"CSTbjuv Tpre ",1.44196766,1.32561473,4.767
"47",47,"Sablefish",1.653,0.1318,91.4409775842581,0.416666666666667,"DDegg Tspawn ",1.30898311,1.51727085,4.935
"48",48,"Sablefish",1.894,0.1468,91.6385560046193,0.333333333333333,"DDbjuv DDegg ",1.27779859,1.19580117,5.27
"49",49,"Sablefish",1.683,0.0769,92.6970117635996,0.208333333333333,"DDegg MLDegg ",1.04552781,1.16362404,4.995
"50",50,"Sablefish",1.635,0.1132,91.9947521808677,0.25,"DDegg LSTegg ",1.44196766,1.32561473,4.899
"51",51,"Sablefish",1.69,0.0663,92.7293645016179,0.0833333333333333,"DDegg LSTyolk ",1.30898311,1.51727085,5.009
"52",52,"Sablefish",1.633,0.064,92.4532351270346,0.291666666666667,"DDegg LSTlarv ",1.32763276,1.17233443,4.895
"53",53,"Sablefish",1.632,0.1298,90.9032612513878,0.375,"DDegg LSTpjuv ",1.04552781,1.16362404,4.893
"54",54,"Sablefish",1.542,0.3037,86.6560286671874,0.583333333333333,"DDegg LSTbjuv ",1.44196766,1.32561473,4.713
"55",55,"Sablefish",1.73,0.2107,89.649704690015,0.375,"CSTegg DDegg ",1.30898311,1.51727085,4.947
"56",56,"Sablefish",1.529,0.2368,89.9236488986992,0.416666666666667,"CSTyolk DDegg ",1.44196766,1.32561473,4.392
"57",57,"Sablefish",1.645,0.1149,91.6902738773746,0.333333333333333,"CSTlarv DDegg ",1.30898311,1.51727085,4.502
"58",58,"Sablefish",1.634,0.2022,89.6644173725192,0.458333333333333,"CSTpjuv DDegg ",1.44196766,1.32561473,4.725
"59",59,"Sablefish",1.69,0.0759,91.6742970471973,0.416666666666667,"CSTbjuv DDegg ",1.30898311,1.51727085,4.805
"60",60,"Sablefish",1.625,0.1662,90.6336187070887,0.458333333333333,"DDyolk Tspawn ",1.74392565,1.43421252,4.998
"61",61,"Sablefish",1.685,0.0636,92.5336643604755,0.375,"DDlarv Tspawn ",1.27779859,1.19580117,4.966
"62",62,"Sablefish",2.059,0.0733,91.7434487334248,0.541666666666667,"DDpjuv Tspawn ",1.32763276,1.17233443,5.901
"63",63,"Sablefish",1.879,0.1525,90.9707272251325,0.458333333333333,"DDbjuv Tspawn ",1.19005148,1.05893525,5.24
"64",64,"Sablefish",1.599,0.0367,92.6715860943552,0.5,"MLDegg Tspawn ",1.04552781,1.16362404,4.468
"65",65,"Sablefish",1.623,0.0321,92.7864459739569,0.416666666666667,"LSTegg Tspawn ",1.44196766,1.32561473,4.537
"66",66,"Sablefish",1.635,0.0465,92.4270671060539,0.5,"LSTyolk Tspawn ",1.30898311,1.51727085,4.598
"67",67,"Sablefish",1.604,0.0675,91.8918531889707,0.541666666666667,"LSTlarv Tspawn ",1.74392565,1.43421252,4.544
"68",68,"Sablefish",1.588,0.1616,89.6485480415013,0.541666666666667,"LSTpjuv Tspawn ",1.74392565,1.43421252,4.371
"69",69,"Sablefish",1.572,0.3666,84.4230534091551,0.541666666666667,"LSTbjuv Tspawn ",1.74392565,1.43421252,4.194
"70",70,"Sablefish",1.53,0.2101,89.2223779145399,0.333333333333333,"CSTegg Tspawn ",1.74392565,1.43421252,4.547
"71",71,"Sablefish",1.543,0.1611,90.7687063054054,0.583333333333333,"CSTyolk Tspawn ",1.44196766,1.32561473,4.42
"72",72,"Sablefish",1.585,0.0804,91.55827079894,0.458333333333333,"CSTlarv Tspawn ",1.30898311,1.51727085,4.382
"73",73,"Sablefish",1.564,0.2159,88.5085472044426,0.625,"CSTpjuv Tspawn ",1.27779859,1.19580117,4.585
"74",74,"Sablefish",1.668,0.0924,91.2427992049087,0.416666666666667,"CSTbjuv Tspawn ",1.04552781,1.16362404,4.761
"75",75,"Sablefish",1.892,0.1505,91.3572874503086,0.375,"DDbjuv DDyolk ",1.44196766,1.32561473,5.266
"76",76,"Sablefish",1.676,0.0802,92.5730372089428,0.291666666666667,"DDyolk MLDegg ",1.30898311,1.51727085,5.1
"77",77,"Sablefish",1.686,0.0972,92.2720571478428,0.25,"DDyolk LSTegg ",1.32763276,1.17233443,5.12
"78",78,"Sablefish",1.718,0.0734,92.5664075550421,0.208333333333333,"DDyolk LSTyolk ",1.04552781,1.16362404,5.184
"79",79,"Sablefish",1.664,0.0771,92.3100731154528,0.333333333333333,"DDyolk LSTlarv ",1.44196766,1.32561473,5.076
"80",80,"Sablefish",1.642,0.1144,90.9668144318505,0.458333333333333,"DDyolk LSTpjuv ",1.30898311,1.51727085,5.032
"81",81,"Sablefish",1.578,0.3023,86.7128480235121,0.541666666666667,"DDyolk LSTbjuv ",1.44196766,1.32561473,4.904
"82",82,"Sablefish",1.639,0.2254,89.331849311652,0.416666666666667,"CSTegg DDyolk ",1.30898311,1.51727085,4.765
"83",83,"Sablefish",1.564,0.2455,89.6831116597647,0.416666666666667,"CSTyolk DDyolk ",1.44196766,1.32561473,4.462
"84",84,"Sablefish",1.661,0.1186,91.4348160823348,0.375,"CSTlarv DDyolk ",1.30898311,1.51727085,4.534
"85",85,"Sablefish",1.646,0.1985,89.6347600632711,0.458333333333333,"CSTpjuv DDyolk ",1.57327189,1.35891122,4.749
"86",86,"Sablefish",1.686,0.0938,91.2053096653292,0.416666666666667,"CSTbjuv DDyolk ",1.57327189,1.35891122,4.797
"87",87,"Sablefish",1.85,0.1476,91.1750085812586,0.416666666666667,"DDbjuv DDlarv ",1.57327189,1.35891122,5.182
"88",88,"Sablefish",1.658,0.0118,93.3143014457291,0.291666666666667,"DDlarv MLDegg ",1.57327189,1.35891122,4.912
"89",89,"Sablefish",1.662,0.01,93.3289727442833,0.291666666666667,"DDlarv LSTegg ",1.57327189,1.35891122,4.92
"90",90,"Sablefish",1.662,0.0219,93.0388713866572,0.25,"DDlarv LSTyolk ",1.44196766,1.32561473,4.92
"91",91,"Sablefish",1.603,0.0392,92.6100086754239,0.291666666666667,"DDlarv LSTlarv ",1.30898311,1.51727085,4.802
"92",92,"Sablefish",1.588,0.1033,90.9538060048968,0.541666666666667,"DDlarv LSTpjuv ",1.74392565,1.43421252,4.772
"93",93,"Sablefish",1.54,0.3017,86.7154957302952,0.583333333333333,"DDlarv LSTbjuv ",1.74392565,1.43421252,4.676
"94",94,"Sablefish",1.538,0.2066,89.3666602468402,0.458333333333333,"CSTegg DDlarv ",1.74392565,1.43421252,4.563
"95",95,"Sablefish",1.595,0.1847,90.9575243801437,0.333333333333333,"CSTyolk DDlarv ",1.74392565,1.43421252,4.524
"96",96,"Sablefish",1.628,0.0601,92.0830649503261,0.333333333333333,"CSTlarv DDlarv ",1.74392565,1.43421252,4.468
"97",97,"Sablefish",1.607,0.1604,90.1213334833495,0.5,"CSTpjuv DDlarv ",1.44196766,1.32561473,4.671
"98",98,"Sablefish",1.64,0.0907,91.2879878343499,0.5,"CSTbjuv DDlarv ",1.30898311,1.51727085,4.705
"99",99,"Sablefish",1.71,0.0513,92.3058942226377,0.375,"DDpjuv MLDegg ",1.32763276,1.17233443,5.203
"100",100,"Sablefish",1.736,0.0486,92.3748659152389,0.375,"DDpjuv LSTegg ",1.19005148,1.05893525,5.255
"101",101,"Sablefish",1.785,0.0609,92.0613455787141,0.416666666666667,"DDpjuv LSTyolk ",1.04552781,1.16362404,5.353
"102",102,"Sablefish",1.698,0.0733,91.7418243156829,0.375,"DDpjuv LSTlarv ",1.44196766,1.32561473,5.179
