"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"1",1,"Yellowtail",0.45,0.001,30.5055317805987,0.2,"DDpre  ",0.41502301,0.37261251,2.061
"2",2,"Yellowtail",0.43,0.0096,30.2901308775897,0.36,"DDegg  ",0.4425048,0.39573152,2.095
"3",3,"Yellowtail",0.434,6e-04,30.515882304381,0.2,"DDlarv  ",0.36540301,0.35664947,1.947
"4",4,"Yellowtail",0.445,0.0042,30.4255045961161,0.24,"DDpjuv  ",0.33288319,0.35582827,1.935
"5",5,"Yellowtail",0.424,0.0012,30.5015091655832,0.2,"DDben  ",0.3427491,0.348285,1.887
"6",6,"Yellowtail",0.429,0.019,30.05070370295,0.4,"Tcop  ",0.38343586,0.36024611,1.961
"7",7,"Yellowtail",0.442,3e-04,30.5250540591428,0.28,"Tpart  ",0.35474082,0.3725461,1.985
"8",8,"Yellowtail",0.402,0.111,27.5895655324813,0.64,"MLDpart  ",0.34957123,0.32373825,1.802
"9",9,"Yellowtail",0.384,0.1513,26.4294665931521,0.6,"MLDlarv  ",0.32596746,0.3294355,1.752
"10",10,"Yellowtail",0.425,0.0294,29.7847444756528,0.44,"MLDpjuv  ",0.31581294,0.37713642,1.92
"11",11,"Yellowtail",0.465,0.0154,30.1424063090452,0.32,"CSTlarv  ",0.32613274,0.34545079,1.946
"12",12,"Yellowtail",0.426,0.0092,30.3006676308223,0.44,"CSTpjuv  ",0.32296771,0.35184824,2.421
"13",13,"Yellowtail",0.427,0.1345,28.2720103414497,0.6,"LSTlarv  ",0.36831629,0.42132722,1.929
"14",14,"Yellowtail",0.423,0.0192,30.0472325358645,0.44,"LSTpjuv  ",0.42289337,0.42603615,1.873
"15",15,"Yellowtail",0.415,0.1914,26.8457432554656,0.64,"oni_pre  ",0.29238282,0.31137896,2.04
"16",16,"Yellowtail",0.398,0.2718,24.3564858994771,0.52,"oni_larv  ",0.34918113,0.41393368,2.071
"17",17,"Yellowtail",0.397,0.1432,26.6670290165763,0.48,"oni_pjuv  ",0.32609946,0.38257377,1.708
"18",18,"Yellowtail",0.433,7e-04,30.5147208341553,0.2,"pdo_larv  ",0.38439525,0.41864256,2.043
"19",19,"Yellowtail",0.414,0.0496,29.2591527508106,0.52,"pdo_pjuv  ",0.32689956,0.35282624,1.92
"20",20,"Yellowtail",0.418,0.1932,26.6825109423882,0.64,"CutiSTIpjuv  ",0.3427491,0.348285,2.058
"21",21,"Yellowtail",0.435,1e-04,30.5283963089398,0.2,"CutiTUMIpjuv  ",0.41502301,0.37261251,1.896
"22",22,"Yellowtail",0.496,0.0249,30.271769852421,0.28,"BeutiTUMIpjuv  ",0.32613274,0.34545079,2.025
"23",23,"Yellowtail",0.442,0.0258,29.8766610832235,0.32,"BeutiSTIpjuv  ",0.41502301,0.37261251,2.095
"24",24,"Yellowtail",0.47,0.0032,32.4500406515959,0.16,"DDben DDpre ",0.41502301,0.37261251,1.979
"25",25,"Yellowtail",0.458,0.0324,31.7078108878589,0.4,"DDpre MLDpjuv ",0.41502301,0.37261251,2.077
"26",26,"Yellowtail",0.496,0.0238,31.9297242509963,0.24,"CSTlarv DDpre ",0.38439525,0.41864256,2.008
"27",27,"Yellowtail",0.469,0.0094,32.294462217585,0.28,"CSTpjuv DDpre ",0.32689956,0.35282624,2.507
