"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"1",1,"Hake",1.878,0.0134,105.613022235507,0.4,"MLDyolk  ",2.39173927,2.33295058
"2",2,"Hake",1.874,0.0176,105.506192245459,0.52,"DDlarv  ",2.40499794,2.3295955
"3",3,"Hake",1.906,0.0259,105.294507038199,0.4,"SSHjas.pre  ",2.38789839,2.29339025
"4",4,"Hake",1.886,0.0304,105.178173786534,0.44,"SSHmsn.pre  ",2.38386666,2.32867569
"5",5,"Hake",2.079,0.0243,105.333471568645,0.32,"SSHmsc  ",2.44467533,2.4143266
"6",6,"Hake",1.867,0.0383,104.974096464773,0.56,"CSTlaten  ",2.39355355,2.33543865
"7",7,"Hake",2.125,0.0313,105.589281999183,0.4,"SSHmss  ",2.42870826,2.41126574
"8",8,"Hake",1.869,0.0413,104.894978798566,0.44,"PUTpjuv  ",2.41810869,2.42751469
"9",9,"Hake",1.87,0.0309,105.165677602008,0.4,"DDyolk  ",2.73182538,2.40198764
"10",10,"Hake",2.165,0.0115,105.661044792644,0.48,"LSTegg  ",2.41049955,2.50303768
"11",11,"Hake",1.97,0.0348,105.599965558284,0.36,"CSTpjuvs  ",2.37836969,2.42412629
"12",12,"Hake",2.011,0.042,104.875932221847,0.32,"MLDlarv  ",2.21554483,2.24825558
"13",13,"Hake",2.062,0.0423,105.599824325736,0.2,"Tspawn  ",2.44272214,2.39951399
"14",14,"Hake",2.037,0.0491,105.511303827588,0.16,"DDspawn  ",2.44806761,2.40027895
"15",15,"Hake",1.937,0.0652,104.902384932162,0.4,"PUTlate  ",2.42866936,2.36195376
"16",16,"Hake",1.977,0.0821,104.909014465543,0.2,"SSHjac.pre  ",2.71902834,2.45150573
"17",17,"Hake",1.882,0.0901,103.588657596253,0.56,"MLDpjuv  ",2.33149595,2.10748263
"18",18,"Hake",1.935,0.0938,104.74058440483,0.32,"Tpre  ",2.83720382,2.59022243
"19",19,"Hake",1.935,0.0938,104.740584410647,0.32,"DDpre  ",2.83720382,2.59022243
"20",20,"Hake",1.846,0.1346,102.945270405719,0.32,"MLDlate  ",2.03739886,2.1713158
"21",21,"Hake",1.967,0.1217,104.106329348784,0.56,"CSTeggs  ",2.70528211,2.44437765
"22",22,"Hake",1.918,0.0408,106.907229499102,0.32,"MLDyolk SSHjas.pre ",2.39173927,2.33295058
"23",23,"Hake",2.088,0.0362,107.027605510629,0.24,"MLDyolk SSHmsc ",2.39173927,2.33295058
"24",24,"Hake",2.139,0.0307,107.347600721973,0.24,"MLDyolk SSHmss ",2.39355355,2.33543865
"25",25,"Hake",1.891,0.0537,106.568778993676,0.44,"MLDyolk PUTpjuv ",2.39173927,2.33295058
"26",26,"Hake",2.467,0.1897,106.018958702679,0.44,"LSTegg MLDyolk ",2.39173927,2.33295058
"27",27,"Hake",1.976,0.0888,106.656386317054,0.32,"CSTpjuvs MLDyolk ",2.41049955,2.50303768
"28",28,"Hake",1.964,0.0846,106.499526530449,0.44,"MLDyolk PUTlate ",2.37836969,2.42412629
"29",29,"Hake",2.003,0.0938,106.569147611089,0.2,"MLDyolk SSHjac.pre ",2.39173927,2.33295058
"30",30,"Hake",1.937,0.1787,104.566960248469,0.48,"CSTeggs MLDyolk ",2.39173927,2.33295058
"31",31,"Hake",1.93,0.0354,107.049311274931,0.4,"DDlarv SSHjas.pre ",2.39173927,2.33295058
"32",32,"Hake",2.093,0.0567,106.64594081584,0.4,"DDlarv SSHmsc ",2.83720382,2.59022243
"33",33,"Hake",2.149,0.0654,106.880124281186,0.36,"DDlarv SSHmss ",2.70528211,2.44437765
"34",34,"Hake",1.892,0.0522,106.610439688738,0.44,"DDlarv PUTpjuv ",2.40499794,2.3295955
"35",35,"Hake",1.992,0.0494,107.213486527336,0.32,"CSTpjuvs DDlarv ",2.40499794,2.3295955
"36",36,"Hake",1.98,0.1154,106.129118408839,0.36,"DDlarv SSHjac.pre ",2.40499794,2.3295955
"37",37,"Hake",1.911,0.1332,104.856625255746,0.24,"DDlarv MLDlate ",2.40499794,2.3295955
"38",38,"Hake",2.136,0.0659,106.371192065392,0.44,"SSHjas.pre SSHmsc ",2.37836969,2.42412629
"39",39,"Hake",1.91,0.0699,106.137535903975,0.44,"CSTlaten SSHjas.pre ",2.40499794,2.3295955
