"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"1",1,"Petrale Sole",0.455,6e-04,32.4117136658042,0.68,"DDpre  ",0.6543607,0.48002446
"2",2,"Petrale Sole",0.437,8e-04,32.4064830726464,0.72,"Tpre.a  ",0.65822275,0.49884795
"3",3,"Petrale Sole",0.452,0.0839,30.3847562543331,0.64,"Tpre.b  ",0.66672747,0.49154025
"4",4,"Petrale Sole",0.461,0.0684,30.6570885309653,0.64,"DDegg1  ",0.65116733,0.48774917
"5",5,"Petrale Sole",0.463,0.0579,30.9366304536869,0.68,"DDegg2  ",0.66321327,0.49654063
"6",6,"Petrale Sole",0.45,0.1475,29.4218519392137,0.68,"DDlarv  ",0.69326775,0.52396932
"7",7,"Petrale Sole",0.459,0.1423,29.6854422512764,0.68,"DDpjuv  ",0.71130149,0.53269088
"8",8,"Petrale Sole",0.454,0.1115,30.3258177150403,0.68,"DDbjuv.a  ",0.66680556,0.49254072
"9",9,"Petrale Sole",0.458,0.1001,30.1834973936335,0.64,"DDbjuv.b  ",0.67931638,0.49888916
"10",10,"Petrale Sole",0.469,0.1296,30.281540437836,0.72,"MLDegg  ",0.71988824,0.53681884
"11",11,"Petrale Sole",0.451,0.0303,31.6569989763692,0.72,"LSTegg1  ",0.71350927,0.53348787
"12",12,"Petrale Sole",0.442,0.0594,30.8973510201741,0.72,"LSTegg2  ",0.6680266,0.51601305
"13",13,"Petrale Sole",0.445,0.2269,27.6860483935839,0.68,"LSTlarv  ",0.68798738,0.52340302
"14",14,"Petrale Sole",0.472,0.1404,30.1319633508902,0.72,"LSTpjuv  ",0.71648611,0.54542916
"15",15,"Petrale Sole",0.436,0.0023,32.370189013957,0.72,"LSTbjuv.a  ",0.63056898,0.48845259
"16",16,"Petrale Sole",0.437,0.0108,32.1550772928206,0.72,"LSTbjuv.b  ",0.61027893,0.47968929
"17",17,"Petrale Sole",0.426,0.063,30.8014940386201,0.68,"CSTegg1  ",0.61714187,0.50728225
"18",18,"Petrale Sole",0.54,0.0725,31.6393833822185,0.68,"CSTegg2  ",0.66377409,0.49233682
"19",19,"Petrale Sole",0.42,0.0706,30.5971348306465,0.68,"CSTlarv  ",0.62743241,0.48704238
"20",20,"Petrale Sole",0.41,0.1434,28.5569881089207,0.72,"CSTpjuv  ",0.6363459,0.47582463
"21",21,"Petrale Sole",0.424,0.1635,27.9632270940909,0.76,"CSTbjuv.a  ",0.64707652,0.52934513
"22",22,"Petrale Sole",0.444,0.0499,31.1486905667413,0.72,"CSTbjuv.b  ",0.67088253,0.51172205
"23",23,"Petrale Sole",0.474,0.2434,29.1590524612705,0.68,"DDpre LSTlarv ",0.6543607,0.48002446
"24",24,"Petrale Sole",0.506,0.152,31.8092922277304,0.68,"DDpre LSTpjuv ",0.65116733,0.48774917
"25",25,"Petrale Sole",0.482,0.0652,32.7419262584061,0.64,"CSTegg1 DDpre ",0.69326775,0.52396932
"26",26,"Petrale Sole",0.466,0.0708,32.5920082698384,0.64,"CSTlarv DDpre ",0.71130149,0.53269088
