"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"1",1,"Sablefish",1.565,0.0398,93.1779999621155,0.44,"DDpre  ",1.42346184,1.46631316
"2",2,"Sablefish",1.579,0.0016,94.1184114194464,0.44,"Tpre  ",1.51488734,1.4280644
"3",3,"Sablefish",1.575,0.0643,93.5047856928373,0.24,"DDegg  ",1.57372998,1.37234212
"4",4,"Sablefish",1.531,0.0332,93.3134667837397,0.44,"Tspawn  ",1.54804579,1.33050952
"5",5,"Sablefish",1.592,0.0677,93.3585809452967,0.28,"DDyolk  ",1.65841864,1.35296708
"6",6,"Sablefish",1.547,0.0096,93.9168113192882,0.36,"DDlarv  ",1.61243623,1.37006938
"7",7,"Sablefish",1.639,0.047,92.9547359720399,0.4,"DDpjuv  ",1.55281474,1.42291606
"8",8,"Sablefish",1.673,0.1023,92.7624484697372,0.44,"DDbjuv  ",1.62625042,1.57002775
"9",9,"Sablefish",1.496,0.0039,94.0598601537759,0.56,"MLDegg  ",1.53372665,1.45835936
"10",10,"Sablefish",1.526,0.0019,94.1123770729273,0.44,"LSTegg  ",1.64148464,1.58139048
"11",11,"Sablefish",1.553,0.017,93.7288687305944,0.36,"LSTyolk  ",1.54972367,1.64275391
"12",12,"Sablefish",1.503,0.0394,93.1528695722666,0.44,"LSTlarv  ",1.69559526,1.55571068
"13",13,"Sablefish",1.507,0.0908,91.9452995473053,0.48,"LSTpjuv  ",1.49727512,1.61322308
"14",14,"Sablefish",1.426,0.3021,86.9582476119872,0.6,"LSTbjuv  ",1.62582454,1.46470552
"15",15,"Sablefish",1.436,0.1784,90.6108088104773,0.48,"CSTegg  ",1.06306153,1.84832014
"16",16,"Sablefish",1.449,0.1354,91.9886275734298,0.56,"CSTyolk  ",1.95349394,1.52168782
"17",17,"Sablefish",1.497,0.0485,92.9473059762965,0.32,"CSTlarv  ",1.68934216,1.42757892
"18",18,"Sablefish",1.472,0.1539,90.7946161053071,0.6,"CSTpjuv  ",1.63017084,3.20720474
"19",19,"Sablefish",1.588,0.0602,92.606681625118,0.52,"CSTbjuv  ",1.56487228,1.84253871
"20",20,"Sablefish",1.721,0.0423,95.0769877436182,0.36,"DDpre Tpre ",1.42346184,1.46631316
"21",21,"Sablefish",1.65,0.1207,94.1155976911829,0.48,"DDegg DDpre ",1.57372998,1.37234212
"22",22,"Sablefish",1.668,0.1106,94.2942478722813,0.48,"DDpre DDyolk ",1.42346184,1.46631316
"23",23,"Sablefish",1.644,0.0434,95.0492085326253,0.4,"DDlarv DDpre ",1.42346184,1.46631316
"24",24,"Sablefish",1.597,0.0625,94.8026566343593,0.48,"DDpre MLDegg ",1.61243623,1.37006938
"25",25,"Sablefish",1.621,0.0404,95.1265897378386,0.44,"DDpre LSTegg ",1.55281474,1.42291606
"26",26,"Sablefish",1.683,0.0529,94.8010710232352,0.4,"DDpre LSTyolk ",1.42346184,1.46631316
"27",27,"Sablefish",1.588,0.0756,94.1939748416071,0.4,"DDpre LSTlarv ",1.42346184,1.46631316
"28",28,"Sablefish",1.533,0.1884,92.229902409241,0.44,"CSTegg DDpre ",1.42346184,1.46631316
"29",29,"Sablefish",1.541,0.1622,93.1414736645732,0.48,"CSTyolk DDpre ",1.42346184,1.46631316
"30",30,"Sablefish",1.544,0.1028,93.4460783096599,0.4,"CSTlarv DDpre ",1.06306153,1.84832014
"31",31,"Sablefish",1.504,0.1398,92.392493307372,0.56,"CSTpjuv DDpre ",1.95349394,1.52168782
"32",32,"Sablefish",1.613,0.2043,91.6118552600013,0.44,"CSTbjuv DDpre ",1.68934216,1.42757892
"33",33,"Sablefish",1.829,0.1076,94.6104835760537,0.4,"DDbjuv Tpre ",1.63017084,3.20720474
"34",34,"Sablefish",1.634,0.02,95.6532772003456,0.28,"LSTyolk Tpre ",1.56487228,1.84253871
"35",35,"Sablefish",1.579,0.0478,94.9352727715778,0.36,"LSTlarv Tpre ",1.51488734,1.4280644
"36",36,"Sablefish",1.741,0.184,92.4409293111897,0.36,"CSTegg Tpre ",1.55281474,1.42291606
"37",37,"Sablefish",1.637,0.1351,93.9690363682998,0.44,"CSTyolk Tpre ",1.62625042,1.57002775
"38",38,"Sablefish",1.617,0.0473,94.9477550084565,0.32,"CSTlarv Tpre ",1.64148464,1.58139048
"39",39,"Sablefish",1.783,0.1529,92.7846796733287,0.6,"CSTpjuv Tpre ",1.54972367,1.64275391
"40",40,"Sablefish",1.646,0.0605,94.5988996880272,0.48,"CSTbjuv Tpre ",1.69559526,1.55571068
"41",41,"Sablefish",1.608,0.1312,93.9191844728215,0.44,"DDegg Tspawn ",1.49727512,1.61322308
"42",42,"Sablefish",1.662,0.057,95.4055423247964,0.12,"DDegg LSTyolk ",1.62582454,1.46470552
"43",43,"Sablefish",1.59,0.0566,95.0492098077764,0.32,"DDegg LSTlarv ",1.06306153,1.84832014
"44",44,"Sablefish",1.592,0.1288,93.3662095696964,0.44,"DDegg LSTpjuv ",1.95349394,1.52168782
"45",45,"Sablefish",1.495,0.3053,88.8362126058228,0.6,"DDegg LSTbjuv ",1.68934216,1.42757892
"46",46,"Sablefish",1.664,0.1882,92.4278273589444,0.36,"CSTegg DDegg ",1.63017084,3.20720474
"47",47,"Sablefish",1.497,0.2292,92.481356218208,0.4,"CSTyolk DDegg ",1.56487228,1.84253871
"48",48,"Sablefish",1.598,0.1021,94.3189844455075,0.32,"CSTlarv DDegg ",1.57372998,1.37234212
"49",49,"Sablefish",1.6,0.2006,92.1691169851222,0.48,"CSTpjuv DDegg ",1.62625042,1.57002775
"50",50,"Sablefish",1.658,0.0691,94.3685721071754,0.4,"CSTbjuv DDegg ",1.57372998,1.37234212
"51",51,"Sablefish",1.578,0.1644,93.1047109493803,0.44,"DDyolk Tspawn ",1.57372998,1.37234212
"52",52,"Sablefish",1.639,0.0643,95.0453870809196,0.44,"DDlarv Tspawn ",1.57372998,1.37234212
"53",53,"Sablefish",2.018,0.0744,94.226457552564,0.56,"DDpjuv Tspawn ",1.06306153,1.84832014
"54",54,"Sablefish",1.814,0.1495,93.4842209688999,0.44,"DDbjuv Tspawn ",1.95349394,1.52168782
"55",55,"Sablefish",1.558,0.0384,95.1790895881958,0.52,"MLDegg Tspawn ",1.68934216,1.42757892
"56",56,"Sablefish",1.582,0.0338,95.2997772084979,0.4,"LSTegg Tspawn ",1.63017084,3.20720474
"57",57,"Sablefish",1.596,0.0481,94.9260246617963,0.52,"LSTyolk Tspawn ",1.56487228,1.84253871
"58",58,"Sablefish",1.564,0.0692,94.3668036230163,0.56,"LSTlarv Tspawn ",1.65841864,1.35296708
"59",59,"Sablefish",1.552,0.1647,92.0746715954844,0.56,"LSTpjuv Tspawn ",1.61243623,1.37006938
"60",60,"Sablefish",1.537,0.3661,86.5838211882345,0.56,"LSTbjuv Tspawn ",1.55281474,1.42291606
"61",61,"Sablefish",1.491,0.2069,91.6776166614212,0.4,"CSTegg Tspawn ",1.62625042,1.57002775
"62",62,"Sablefish",1.503,0.1637,93.1331880278941,0.64,"CSTyolk Tspawn ",1.53372665,1.45835936
"63",63,"Sablefish",1.544,0.082,94.0196718170975,0.48,"CSTlarv Tspawn ",1.64148464,1.58139048
"64",64,"Sablefish",1.525,0.2186,90.8141733357145,0.64,"CSTpjuv Tspawn ",1.54972367,1.64275391
"65",65,"Sablefish",1.629,0.0914,93.7619964669478,0.48,"CSTbjuv Tspawn ",1.69559526,1.55571068
"66",66,"Sablefish",1.689,0.0624,95.2668321320087,0.16,"DDyolk LSTyolk ",1.49727512,1.61322308
"67",67,"Sablefish",1.6,0.1112,93.4406938537452,0.48,"DDyolk LSTpjuv ",1.62582454,1.46470552
"68",68,"Sablefish",1.527,0.3033,88.8980754946319,0.6,"DDyolk LSTbjuv ",1.06306153,1.84832014
"69",69,"Sablefish",1.592,0.199,92.1929079023358,0.36,"CSTegg DDyolk ",1.95349394,1.52168782
"70",70,"Sablefish",1.532,0.2352,92.3028405176139,0.44,"CSTyolk DDyolk ",1.68934216,1.42757892
"71",71,"Sablefish",1.613,0.1097,94.0676686907559,0.36,"CSTlarv DDyolk ",1.63017084,3.20720474
"72",72,"Sablefish",1.611,0.1954,92.185444286093,0.44,"CSTpjuv DDyolk ",1.56487228,1.84253871
"73",73,"Sablefish",1.658,0.0849,93.9408410521375,0.4,"CSTbjuv DDyolk ",1.62625042,1.57002775
"74",74,"Sablefish",1.628,0.0215,95.6147309617981,0.28,"DDlarv LSTyolk ",1.65841864,1.35296708
"75",75,"Sablefish",1.552,0.1048,93.3921305494477,0.56,"DDlarv LSTpjuv ",1.65841864,1.35296708
"76",76,"Sablefish",1.493,0.3034,88.8975916367464,0.6,"DDlarv LSTbjuv ",1.65841864,1.35296708
"77",77,"Sablefish",1.493,0.1952,92.0582180408754,0.4,"CSTegg DDlarv ",1.65841864,1.35296708
"78",78,"Sablefish",1.557,0.178,93.4801056829824,0.32,"CSTyolk DDlarv ",1.06306153,1.84832014
"79",79,"Sablefish",1.575,0.0603,94.6037503946701,0.36,"CSTlarv DDlarv ",1.95349394,1.52168782
"80",80,"Sablefish",1.563,0.1642,92.5209583033788,0.52,"CSTpjuv DDlarv ",1.68934216,1.42757892
"81",81,"Sablefish",1.618,0.0828,93.9985480367003,0.48,"CSTbjuv DDlarv ",1.63017084,3.20720474
"82",82,"Sablefish",1.673,0.05,94.8753332694451,0.4,"DDpjuv MLDegg ",1.56487228,1.84253871
"83",83,"Sablefish",1.699,0.047,94.9543505065181,0.36,"DDpjuv LSTegg ",1.62625042,1.57002775
"84",84,"Sablefish",1.753,0.0593,94.6299992961814,0.4,"DDpjuv LSTyolk ",1.61243623,1.37006938
"85",85,"Sablefish",1.661,0.0726,94.2742920342511,0.4,"DDpjuv LSTlarv ",1.61243623,1.37006938
"86",86,"Sablefish",1.572,0.1864,92.1532212998489,0.28,"CSTegg DDpjuv ",1.61243623,1.37006938
"87",87,"Sablefish",1.654,0.1413,93.6107353780362,0.4,"CSTyolk DDpjuv ",1.06306153,1.84832014
"88",88,"Sablefish",1.587,0.099,93.5525329103405,0.4,"CSTlarv DDpjuv ",1.95349394,1.52168782
"89",89,"Sablefish",1.69,0.116,94.4075047035846,0.44,"DDbjuv MLDegg ",1.68934216,1.42757892
"90",90,"Sablefish",1.717,0.1052,94.664279440039,0.36,"DDbjuv LSTegg ",1.63017084,3.20720474
"91",91,"Sablefish",1.73,0.1198,94.2546957496433,0.4,"DDbjuv LSTyolk ",1.56487228,1.84253871
"92",92,"Sablefish",1.682,0.1376,93.7263001198183,0.36,"DDbjuv LSTlarv ",1.55281474,1.42291606
"93",93,"Sablefish",1.722,0.3422,89.0303532991509,0.64,"CSTegg DDbjuv ",1.55281474,1.42291606
"94",94,"Sablefish",1.631,0.3452,89.0638840658571,0.6,"CSTyolk DDbjuv ",1.55281474,1.42291606
"95",95,"Sablefish",1.664,0.205,92.7497417592715,0.36,"CSTlarv DDbjuv ",1.55281474,1.42291606
"96",96,"Sablefish",1.537,0.0976,93.768605626172,0.56,"LSTpjuv MLDegg ",1.55281474,1.42291606
"97",97,"Sablefish",1.477,0.302,88.9512546316767,0.6,"LSTbjuv MLDegg ",1.06306153,1.84832014
