"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"1",1,"Yellowtail",0.45,0.001,30.5055317805988,0.2,"DDpre  ",0.41502301,0.37261251
"2",2,"Yellowtail",0.43,0.0096,30.2901308775746,0.36,"DDegg  ",0.4425048,0.39573152
"3",3,"Yellowtail",0.434,6e-04,30.5158823043668,0.2,"DDlarv  ",0.36540301,0.35664947
"4",4,"Yellowtail",0.445,0.0042,30.4255045961199,0.24,"DDpjuv  ",0.33288319,0.35582827
"5",5,"Yellowtail",0.424,0.0012,30.5015091655895,0.2,"DDben  ",0.3427491,0.348285
"6",6,"Yellowtail",0.429,0.019,30.0507037029493,0.4,"Tcop  ",0.38343586,0.36024611
"7",7,"Yellowtail",0.442,3e-04,30.5250540591428,0.28,"Tpart  ",0.35474082,0.3725461
"8",8,"Yellowtail",0.402,0.111,27.5895655324826,0.64,"MLDpart  ",0.34957123,0.32373825
"9",9,"Yellowtail",0.384,0.1513,26.429466593151,0.6,"MLDlarv  ",0.32596746,0.3294355
"10",10,"Yellowtail",0.425,0.0294,29.7847444756443,0.44,"MLDpjuv  ",0.31581294,0.37713642
"11",11,"Yellowtail",0.465,0.0154,30.142406309044,0.32,"CSTlarv  ",0.32613274,0.34545079
"12",12,"Yellowtail",0.426,0.0092,30.300667630821,0.44,"CSTpjuv  ",0.60478619,0.48205788
"13",13,"Yellowtail",0.427,0.1345,28.2720103414497,0.6,"LSTlarv  ",0.37896819,0.3478156
"14",14,"Yellowtail",0.423,0.0192,30.0472325358681,0.44,"LSTpjuv  ",0.32296771,0.35184824
"15",15,"Yellowtail",0.415,0.1914,26.8457432554656,0.64,"oni_pre  ",0.36831629,0.42132722
"16",16,"Yellowtail",0.398,0.2718,24.3564858994771,0.52,"oni_larv  ",0.42289337,0.42603615
"17",17,"Yellowtail",0.397,0.1432,26.6670290165753,0.48,"oni_pjuv  ",0.29238282,0.31137896
"18",18,"Yellowtail",0.433,7e-04,30.5147208341894,0.2,"pdo_larv  ",0.34918113,0.41393368
"19",19,"Yellowtail",0.414,0.0496,29.2591527508041,0.52,"pdo_pjuv  ",0.32609946,0.38257377
