"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"1",1,"Hake",1.974,0.0256,74.4933728255781,0.529411764705882,"MLDyolk  ",2.39173927,2.33295058
"2",2,"Hake",2.83,0.0243,74.5149674777926,0.470588235294118,"DDlarv  ",2.40499794,2.3295955
"3",3,"Hake",1.835,0.1525,72.1213959887626,0.470588235294118,"SSHjas.pre  ",2.38789839,2.29339025
"4",4,"Hake",1.962,0.0661,73.7716761102518,0.588235294117647,"SSHmsn.pre  ",2.38386666,2.32867569
"5",5,"Hake",2.06,5e-04,74.9258748816234,0.647058823529412,"SSHmsc  ",2.44467533,2.4143266
"6",6,"Hake",1.967,0.0153,74.6722832555098,0.529411764705882,"CSTlaten  ",2.39355355,2.33543865
"7",7,"Hake",2.057,7e-04,74.9223164795452,0.647058823529412,"SSHmss  ",2.42870826,2.41126574
"8",8,"Hake",2.103,0.0678,74.4001449663825,0.235294117647059,"PUTpjuv  ",2.41810869,2.42751469
"9",9,"Hake",2.458,0.0518,74.0305502169162,0.470588235294118,"DDyolk  ",2.73182538,2.40198764
"10",10,"Hake",2.28,0.0018,74.9027187985413,0.588235294117647,"LSTegg  ",2.41049955,2.50303768
"11",11,"Hake",2.042,0.0034,74.8756399264861,0.529411764705882,"CSTpjuvs  ",2.37836969,2.42412629
"12",12,"Hake",2.322,0.0986,73.1698934490366,0.529411764705882,"MLDlarv  ",2.21554483,2.24825558
"13",13,"Hake",2.105,0.0181,74.876235910227,0.529411764705882,"Tspawn  ",2.44272214,2.39951399
"14",14,"Hake",2.076,0.0257,74.8357342585912,0.588235294117647,"DDspawn  ",2.44806761,2.40027895
"15",15,"Hake",2.101,0.0837,74.1913201938051,0.411764705882353,"PUTlate  ",2.42866936,2.36195376
"16",16,"Hake",2.031,0.1021,73.6389241887895,0.352941176470588,"SSHjac.pre  ",2.71902834,2.45150573
"17",17,"Hake",1.708,0.3026,68.8063310952699,0.705882352941177,"MLDpjuv  ",2.33149595,2.10748263
"18",18,"Hake",2.148,1e-04,74.932840927235,0.647058823529412,"Tpre  ",2.83720382,2.59022243
"19",19,"Hake",2.148,1e-04,74.9328409271882,0.647058823529412,"DDpre  ",2.83720382,2.59022243
"20",20,"Hake",1.821,0.2142,70.8362279478974,0.529411764705882,"MLDlate  ",2.03739886,2.1713158
"21",21,"Hake",2.155,0.0052,74.8455605415368,0.588235294117647,"CSTeggs  ",2.70528211,2.44437765
"22",22,"Hake",1.828,0.1789,73.5823887765156,0.588235294117647,"MLDyolk SSHjas.pre ",2.39173927,2.33295058
"23",23,"Hake",2.188,0.0269,76.4697625775706,0.411764705882353,"MLDyolk SSHmsc ",2.39173927,2.33295058
"24",24,"Hake",2.03,0.0324,76.3744165753972,0.411764705882353,"CSTlaten MLDyolk ",2.39355355,2.33543865
"25",25,"Hake",2.277,0.0258,76.490340884391,0.411764705882353,"MLDyolk SSHmss ",2.39173927,2.33295058
"26",26,"Hake",2.611,0.1495,75.2564429649726,0.352941176470588,"MLDyolk PUTpjuv ",2.39173927,2.33295058
"27",27,"Hake",2.665,0.0649,76.2890304638384,0.352941176470588,"LSTegg MLDyolk ",2.41049955,2.50303768
"28",28,"Hake",2.105,0.0335,76.4130051728433,0.294117647058824,"CSTpjuvs MLDyolk ",2.37836969,2.42412629
