"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"1",1,"Petrale Sole",0.413,0.1023,20.171402397212,0.823529411764706,"DDpre  ",0.359,0.479
"2",2,"Petrale Sole",0.422,0.0456,21.2121600141937,0.823529411764706,"Tpre.a  ",0.357,0.467
"3",3,"Petrale Sole",0.444,0.0054,21.9136302843643,0.823529411764706,"Tpre.b  ",0.319,0.4
"4",4,"Petrale Sole",0.423,0.366,15.9869622138343,0.823529411764706,"DDegg1  ",0.386,0.509
"5",5,"Petrale Sole",0.413,0.367,15.9754153969853,0.823529411764706,"DDegg2  ",0.365,0.51
"6",6,"Petrale Sole",0.464,0.1538,20.1667630145779,0.823529411764706,"DDlarv  ",0.341,0.437
"7",7,"Petrale Sole",0.47,0.1965,19.6453743943109,0.823529411764706,"DDpjuv  ",0.328,0.452
"8",8,"Petrale Sole",0.448,0.0111,21.815275112987,0.823529411764706,"DDbjuv.a  ",0.322,0.403
"9",9,"Petrale Sole",0.479,0.0083,21.8634496118206,0.823529411764706,"DDbjuv.b  ",0.327,0.403
"10",10,"Petrale Sole",0.474,0.2865,17.9068807216048,0.823529411764706,"MLDegg  ",0.355,0.485
"11",11,"Petrale Sole",0.401,0.2912,17.6759171109075,0.823529411764706,"LSTegg1  ",0.322,0.474
"12",12,"Petrale Sole",0.437,0.1056,20.4544561681348,0.823529411764706,"LSTegg2  ",0.252,0.399
"13",13,"Petrale Sole",0.486,0.1652,20.2844129790893,0.823529411764706,"LSTlarv  ",0.362,0.409
"14",14,"Petrale Sole",0.494,0.0408,21.8280235604629,0.823529411764706,"LSTpjuv  ",0.391,0.439
"15",15,"Petrale Sole",0.443,0.011,21.8171654736906,0.823529411764706,"LSTbjuv.a  ",0.354,0.452
"16",16,"Petrale Sole",0.434,0.0803,20.5828323743136,0.823529411764706,"LSTbjuv.b  ",0.387,0.498
"17",17,"Petrale Sole",0.417,0.0717,20.7403412393279,0.823529411764706,"CSTegg1  ",0.297,0.416
"18",18,"Petrale Sole",0.321,0.5342,10.8871639546314,0.823529411764706,"CSTegg2  ",0.345,0.604
"19",19,"Petrale Sole",0.421,0.0601,21.0928178599589,0.823529411764706,"CSTlarv  ",0.293,0.402
"20",20,"Petrale Sole",0.419,0.0977,20.7150956021114,0.88235294117647,"CSTpjuv  ",0.295,0.382
