"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"1",1,"Sablefish",1.914,0.1918,65.0182107044099,0.529411764705882,"DDpre  ",1.955,1.919
"2",2,"Sablefish",1.719,0.0143,68.006747110932,0.235294117647059,"Tpre  ",1.874,1.726
"3",3,"Sablefish",1.635,0.07,67.0173280336979,0.470588235294118,"DDegg  ",1.914,1.823
"4",4,"Sablefish",1.619,0.104,66.38413835796,0.705882352941177,"Tspawn  ",1.765,1.727
"5",5,"Sablefish",1.585,0.1134,66.2046570257245,0.588235294117647,"DDyolk  ",1.903,1.852
"6",6,"Sablefish",1.623,0.0737,66.9493951013278,0.529411764705882,"DDlarv  ",1.866,1.773
"7",7,"Sablefish",1.467,0.2149,64.1375372697191,0.588235294117647,"DDpjuv  ",1.974,1.937
"8",8,"Sablefish",1.704,0.0918,66.6147307550584,0.235294117647059,"DDbjuv  ",1.711,1.68
"9",9,"Sablefish",1.659,1e-04,68.2504480038679,0.176470588235294,"MLDegg  ",1.831,1.66
"10",10,"Sablefish",1.704,6e-04,68.2422565366028,0.176470588235294,"LSTegg  ",1.856,1.696
"11",11,"Sablefish",1.655,0.1722,66.4230899318954,0.352941176470588,"LSTyolk  ",1.793,1.813
"12",12,"Sablefish",1.757,0.0238,67.8426226559236,0.352941176470588,"LSTlarv  ",1.632,1.506
"13",13,"Sablefish",1.792,0.0676,67.0622228487855,0.294117647058824,"LSTpjuv  ",1.626,1.505
"14",14,"Sablefish",1.986,0.305,63.7477639951235,0.529411764705882,"LSTbjuv  ",2.155,1.691
"15",15,"Sablefish",1.529,0.3511,62.4033899318589,0.647058823529412,"CSTegg  ",1.901,1.827
"16",16,"Sablefish",1.659,0.2495,64.9284868877629,0.705882352941177,"CSTyolk  ",1.894,1.766
"17",17,"Sablefish",1.657,0.116,67.1634833470691,0.470588235294118,"CSTlarv  ",1.667,1.561
"18",18,"Sablefish",1.691,0.2428,64.0040246158224,0.529411764705882,"CSTpjuv  ",1.733,1.682
"19",19,"Sablefish",1.841,0.135,66.99921859958,0.176470588235294,"CSTbjuv  ",1.915,1.837
"20",20,"Sablefish",2.008,0.31,65.5054971122581,0.529411764705882,"DDpre Tpre ",1.955,1.919
"21",21,"Sablefish",1.799,0.2759,64.7632468206245,0.647058823529412,"DDegg DDpre ",1.914,1.823
"22",22,"Sablefish",1.515,0.4628,61.3666279196675,0.705882352941177,"DDpre Tspawn ",1.955,1.919
"23",23,"Sablefish",1.698,0.2988,64.218039582237,0.705882352941177,"DDpre DDyolk ",1.955,1.919
"24",24,"Sablefish",1.757,0.2794,64.6819500231903,0.705882352941177,"DDlarv DDpre ",1.866,1.773
"25",25,"Sablefish",1.862,0.2932,64.7841864603927,0.470588235294118,"DDpjuv DDpre ",1.955,1.919
"26",26,"Sablefish",1.988,0.1899,66.9899501577365,0.470588235294118,"DDpre MLDegg ",1.955,1.919
"27",27,"Sablefish",2.694,0.1862,67.028172536915,0.411764705882353,"DDpre LSTegg ",1.955,1.919
"28",28,"Sablefish",2.621,0.4876,62.2600847531719,0.647058823529412,"DDpre LSTyolk ",1.955,1.919
"29",29,"Sablefish",2.605,0.1866,66.7406275084738,0.529411764705882,"DDpre LSTlarv ",1.955,1.919
"30",30,"Sablefish",1.685,0.4571,61.3878725654831,0.588235294117647,"CSTegg DDpre ",1.901,1.827
"31",31,"Sablefish",1.938,0.3458,64.5052102096528,0.529411764705882,"CSTyolk DDpre ",1.894,1.766
"32",32,"Sablefish",2.029,0.2352,66.2360382112828,0.529411764705882,"CSTlarv DDpre ",1.667,1.561
"33",33,"Sablefish",2.749,0.2908,64.410273227508,0.588235294117647,"CSTpjuv DDpre ",1.733,1.682
"34",34,"Sablefish",1.927,0.2229,66.6939932224642,0.411764705882353,"CSTbjuv DDpre ",1.915,1.837
"35",35,"Sablefish",1.706,0.1045,68.3758645415725,0.647058823529412,"Tpre Tspawn ",1.874,1.726
"36",36,"Sablefish",1.606,0.2176,66.0790416383338,0.470588235294118,"DDpjuv Tpre ",1.974,1.937
"37",37,"Sablefish",2.137,0.202,67.761240806688,0.235294117647059,"DDbjuv Tpre ",1.711,1.68
"38",38,"Sablefish",1.926,0.0195,69.9169460505082,0.176470588235294,"LSTegg Tpre ",1.856,1.696
"39",39,"Sablefish",1.736,0.19,68.0411396357374,0.411764705882353,"LSTyolk Tpre ",1.793,1.813
"40",40,"Sablefish",1.919,0.0282,69.7657180809777,0.235294117647059,"LSTlarv Tpre ",1.632,1.506
"41",41,"Sablefish",1.932,0.142,68.1099247050877,0.470588235294118,"LSTpjuv Tpre ",1.626,1.505
"42",42,"Sablefish",2.09,0.3029,65.7353847139255,0.411764705882353,"LSTbjuv Tpre ",2.155,1.691
"43",43,"Sablefish",1.379,0.4674,61.1748728355234,0.647058823529412,"CSTegg Tpre ",1.901,1.827
"44",44,"Sablefish",1.884,0.2532,66.7830540527098,0.588235294117647,"CSTyolk Tpre ",1.894,1.766
"45",45,"Sablefish",1.821,0.1103,69.1081153407125,0.411764705882353,"CSTlarv Tpre ",1.667,1.561
"46",46,"Sablefish",1.833,0.3875,64.0201054681447,0.647058823529412,"CSTpjuv Tpre ",1.733,1.682
"47",47,"Sablefish",2.178,0.2252,68.2462319026017,0.294117647058824,"CSTbjuv Tpre ",1.915,1.837
"48",48,"Sablefish",1.679,0.2064,66.7738683163526,0.588235294117647,"DDegg Tspawn ",1.914,1.823
"49",49,"Sablefish",1.987,0.2181,67.0113839880953,0.411764705882353,"DDbjuv DDegg ",1.711,1.68
"50",50,"Sablefish",1.629,0.2598,66.5915874521358,0.647058823529412,"DDegg LSTyolk ",1.914,1.823
"51",51,"Sablefish",1.769,0.162,67.2583169917423,0.588235294117647,"DDegg LSTpjuv ",1.914,1.823
"52",52,"Sablefish",2.002,0.3087,65.480515839322,0.529411764705882,"DDegg LSTbjuv ",1.914,1.823
"53",53,"Sablefish",1.338,0.4766,60.8192918652301,0.588235294117647,"CSTegg DDegg ",1.914,1.823
"54",54,"Sablefish",1.764,0.2991,65.9385001911735,0.529411764705882,"CSTyolk DDegg ",1.914,1.823
"55",55,"Sablefish",1.786,0.1381,68.3778940609767,0.352941176470588,"CSTlarv DDegg ",1.914,1.823
