"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"1",1,"Yellowtail",0.486,0.0588,25.4727115498926,0.588235294117647,"DDpre  ",0.415,0.373
"2",2,"Yellowtail",0.498,0.0408,25.7937467789864,0.352941176470588,"DDegg  ",0.443,0.396
"3",3,"Yellowtail",0.511,0.0196,26.1650038805453,0.294117647058824,"DDlarv  ",0.365,0.357
"4",4,"Yellowtail",0.547,0,26.5017630551397,0.352941176470588,"DDpjuv  ",0.333,0.356
"5",5,"Yellowtail",0.486,1e-04,26.5006163934642,0.294117647058824,"DDben  ",0.343,0.348
"6",6,"Yellowtail",0.468,0.0665,25.3329165838701,0.588235294117647,"Tcop  ",0.383,0.36
"7",7,"Yellowtail",0.525,0.0101,26.3302238590729,0.294117647058824,"Tpart  ",0.355,0.373
"8",8,"Yellowtail",0.463,0.1496,23.7484935666046,0.705882352941177,"MLDpart  ",0.35,0.324
"9",9,"Yellowtail",0.438,0.1934,23.0541919686862,0.529411764705882,"MLDlarv  ",0.326,0.329
"10",10,"Yellowtail",0.501,0.0107,26.319562444421,0.235294117647059,"MLDpjuv  ",0.316,0.377
"11",11,"Yellowtail",0.542,0.0136,26.2697022955225,0.235294117647059,"CSTlarv  ",0.326,0.345
"12",12,"Yellowtail",0.461,0.2346,23.5139073059261,0.588235294117647,"CSTpjuv  ",0.605,0.482
"13",13,"Yellowtail",0.503,0.1916,24.2660597381529,0.470588235294118,"LSTlarv  ",0.379,0.348
"14",14,"Yellowtail",0.499,0.0042,26.4315518364606,0.176470588235294,"LSTpjuv  ",0.323,0.352
"15",15,"Yellowtail",0.411,0.3655,20.5134039987007,0.529411764705882,"oni_pre  ",0.368,0.421
"16",16,"Yellowtail",0.378,0.4506,18.1375929097895,0.647058823529412,"oni_larv  ",0.423,0.426
"17",17,"Yellowtail",0.469,0.1545,23.6485149047929,0.529411764705882,"oni_pjuv  ",0.292,0.311
"18",18,"Yellowtail",0.539,0.0059,26.4010320422199,0.294117647058824,"pdo_larv  ",0.349,0.414
"19",19,"Yellowtail",0.474,0.0802,25.0817774917827,0.529411764705882,"pdo_pjuv  ",0.326,0.383
