"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"1",1,"Hake",1.878,0.0134,105.613022235507,0.4,"MLDyolk  ",2.07965233,1.79569952
"2",2,"Hake",1.874,0.0176,105.506192245459,0.52,"DDlarv  ",2.11367847,1.803154
"3",3,"Hake",1.906,0.0259,105.294507038199,0.4,"SSHjas.pre  ",2.36781091,2.13703731
"4",4,"Hake",1.886,0.0304,105.178173786534,0.44,"SSHmsn.pre  ",2.23119772,1.86152939
"5",5,"Hake",2.079,0.0243,105.333471568645,0.32,"SSHmsc  ",2.30182088,1.96884065
"6",6,"Hake",1.867,0.0383,104.974096464773,0.56,"CSTlaten  ",2.03635508,1.76311388
"7",7,"Hake",1.869,0.0413,104.894978798566,0.44,"PUTpjuv  ",1.95995918,1.82521795
"8",8,"Hake",2.165,0.0115,105.661044792644,0.48,"LSTegg  ",2.05482518,1.80778137
"9",9,"Hake",2.011,0.042,104.875932221847,0.32,"MLDlarv  ",2.14604144,1.79517051
"10",10,"Hake",2.062,0.0423,105.599824325736,0.2,"Tspawn  ",2.08773897,1.96043823
"11",11,"Hake",2.037,0.0491,105.511303827588,0.16,"DDspawn  ",2.08466668,1.9765847
"12",12,"Hake",1.882,0.0901,103.588657596253,0.56,"MLDpjuv  ",2.53887298,2.12736061
"13",13,"Hake",1.918,0.0408,106.907229499102,0.32,"MLDyolk SSHjas.pre ",2.07965233,1.79569952
"14",14,"Hake",2.088,0.0362,107.027605510629,0.24,"MLDyolk SSHmsc ",2.07965233,1.79569952
"15",15,"Hake",1.892,0.0411,106.900146324599,0.52,"CSTlaten MLDyolk ",2.03635508,1.76311388
"16",16,"Hake",1.891,0.0537,106.568778993676,0.44,"MLDyolk PUTpjuv ",2.07965233,1.79569952
"17",17,"Hake",2.467,0.1897,106.018958702679,0.44,"LSTegg MLDyolk ",2.05482518,1.80778137
"18",18,"Hake",2.153,0.0573,107.241260597406,0.24,"DDspawn MLDyolk ",2.08466668,1.9765847
"19",19,"Hake",2.116,0.0915,105.549493551043,0.44,"MLDpjuv MLDyolk ",2.53887298,2.12736061
"20",20,"Hake",1.93,0.0354,107.049311274931,0.4,"DDlarv SSHjas.pre ",2.11367847,1.803154
"21",21,"Hake",2.093,0.0567,106.64594081584,0.4,"DDlarv SSHmsc ",2.11367847,1.803154
"22",22,"Hake",1.892,0.0522,106.610439688738,0.44,"DDlarv PUTpjuv ",2.11367847,1.803154
"23",23,"Hake",2.247,0.0453,106.789362504011,0.28,"DDlarv MLDlarv ",2.11367847,1.803154
"24",24,"Hake",2.157,0.0921,105.534953927228,0.48,"DDlarv MLDpjuv ",2.11367847,1.803154
"25",25,"Hake",1.932,0.0418,106.882717049133,0.4,"SSHjas.pre SSHmsn.pre ",2.36781091,2.13703731
"26",26,"Hake",2.136,0.0659,106.371192065392,0.44,"SSHjas.pre SSHmsc ",2.36781091,2.13703731
"27",27,"Hake",1.91,0.0699,106.137535903975,0.44,"CSTlaten SSHjas.pre ",2.03635508,1.76311388
"28",28,"Hake",1.884,0.1011,105.284405946134,0.56,"PUTpjuv SSHjas.pre ",1.95995918,1.82521795
"29",29,"Hake",2.206,0.038,106.981925042718,0.36,"LSTegg SSHjas.pre ",2.05482518,1.80778137
"30",30,"Hake",2.008,0.0685,106.176526290858,0.32,"MLDlarv SSHjas.pre ",2.14604144,1.79517051
"31",31,"Hake",2.046,0.11,106.208882045686,0.44,"SSHjas.pre Tspawn ",2.36781091,2.13703731
"32",32,"Hake",2.018,0.1097,106.214697060192,0.44,"DDspawn SSHjas.pre ",2.08466668,1.9765847
"33",33,"Hake",1.951,0.093,105.509389002033,0.52,"MLDpjuv SSHjas.pre ",2.53887298,2.12736061
"34",34,"Hake",2.085,0.0769,105.949858505463,0.44,"SSHmsc SSHmsn.pre ",2.30182088,1.96884065
"35",35,"Hake",1.944,0.0535,106.573932335487,0.52,"CSTlaten SSHmsn.pre ",2.03635508,1.76311388
"36",36,"Hake",1.936,0.0647,106.372105045791,0.4,"PUTpjuv SSHmsn.pre ",1.95995918,1.82521795
"37",37,"Hake",2.077,0.0693,106.1547190899,0.56,"LSTegg SSHmsn.pre ",2.05482518,1.80778137
"38",38,"Hake",2.237,0.0513,106.634000013999,0.24,"MLDlarv SSHmsn.pre ",2.14604144,1.79517051
"39",39,"Hake",2.173,0.0968,105.404818718777,0.52,"MLDpjuv SSHmsn.pre ",2.53887298,2.12736061
"40",40,"Hake",2.138,0.0993,106.175168994395,0.4,"PUTpjuv SSHmsc ",1.95995918,1.82521795
"41",41,"Hake",2.472,0.035,107.059499924785,0.36,"LSTegg SSHmsc ",2.05482518,1.80778137
"42",42,"Hake",2.449,0.0672,106.20956832703,0.32,"MLDlarv SSHmsc ",2.14604144,1.79517051
"43",43,"Hake",2.257,0.0701,106.857846091515,0.32,"SSHmsc Tspawn ",2.30182088,1.96884065
"44",44,"Hake",2.235,0.0783,106.743093773547,0.32,"DDspawn SSHmsc ",2.08466668,1.9765847
"45",45,"Hake",2.344,0.1923,103.801581418636,0.44,"MLDpjuv SSHmsc ",2.53887298,2.12736061
"46",46,"Hake",1.886,0.0629,106.326714312795,0.44,"CSTlaten PUTpjuv ",2.03635508,1.76311388
"47",47,"Hake",2.007,0.0669,106.219773400928,0.28,"CSTlaten MLDlarv ",2.03635508,1.76311388
"48",48,"Hake",2.033,0.1205,104.740191529477,0.4,"CSTlaten MLDpjuv ",2.03635508,1.76311388
"49",49,"Hake",2.151,0.052,106.615021339797,0.44,"LSTegg PUTpjuv ",2.05482518,1.80778137
"50",50,"Hake",1.958,0.0929,105.513220489554,0.4,"MLDlarv PUTpjuv ",2.14604144,1.79517051
"51",51,"Hake",2.123,0.107,106.496980904829,0.24,"PUTpjuv Tspawn ",1.95995918,1.82521795
"52",52,"Hake",2.112,0.1313,106.280716537764,0.28,"DDspawn PUTpjuv ",2.08466668,1.9765847
"53",53,"Hake",1.909,0.1439,104.064190139676,0.44,"MLDpjuv PUTpjuv ",2.53887298,2.12736061
"54",54,"Hake",1.949,0.3681,100.113688446323,0.52,"LSTegg MLDlarv ",2.05482518,1.80778137
"55",55,"Hake",2.053,0.2182,104.904260899804,0.52,"LSTegg Tspawn ",2.05482518,1.80778137
"56",56,"Hake",2.071,0.2005,105.274337878799,0.44,"DDspawn LSTegg ",2.08466668,1.9765847
"57",57,"Hake",1.996,0.114,104.923892224019,0.52,"LSTegg MLDpjuv ",2.05482518,1.80778137
"58",58,"Hake",2.544,0.059,106.749639718839,0.32,"MLDlarv Tspawn ",2.14604144,1.79517051
"59",59,"Hake",2.556,0.0567,106.774914364403,0.28,"DDspawn MLDlarv ",2.08466668,1.9765847
"60",60,"Hake",2.712,0.0914,105.552492896724,0.48,"MLDpjuv Tspawn ",2.53887298,2.12736061
"61",61,"Hake",2.683,0.0921,105.534388093311,0.48,"DDspawn MLDpjuv ",2.08466668,1.9765847
"62",62,"Hake",2.147,0.0737,108.03537289711,0.44,"MLDyolk SSHjas.pre SSHmsc",2.07965233,1.79569952
"63",63,"Hake",1.928,0.073,108.053765820502,0.44,"CSTlaten MLDyolk SSHjas.pre",2.03635508,1.76311388
"64",64,"Hake",1.908,0.1156,106.877583079613,0.48,"MLDyolk PUTpjuv SSHjas.pre",2.07965233,1.79569952
"65",65,"Hake",2.583,0.064,108.297109089979,0.4,"LSTegg MLDyolk SSHjas.pre",2.05482518,1.80778137
"66",66,"Hake",2.081,0.1211,107.842276822093,0.4,"DDspawn MLDyolk SSHjas.pre",2.08466668,1.9765847
"67",67,"Hake",2.223,0.0936,107.493784440878,0.44,"MLDpjuv MLDyolk SSHjas.pre",2.53887298,2.12736061
"68",68,"Hake",2.159,0.101,107.976271277106,0.36,"MLDyolk PUTpjuv SSHmsc",2.07965233,1.79569952
"69",69,"Hake",2.924,0.056,108.507572326417,0.28,"LSTegg MLDyolk SSHmsc",2.05482518,1.80778137
"70",70,"Hake",2.249,0.1006,108.281540434315,0.28,"DDspawn MLDyolk SSHmsc",2.08466668,1.9765847
"71",71,"Hake",2.544,0.2153,105.202721931717,0.44,"MLDpjuv MLDyolk SSHmsc",2.53887298,2.12736061
"72",72,"Hake",1.916,0.0671,108.212686457913,0.44,"CSTlaten MLDyolk PUTpjuv",2.03635508,1.76311388
"73",73,"Hake",2.201,0.1313,106.430367470582,0.44,"CSTlaten MLDpjuv MLDyolk",2.03635508,1.76311388
"74",74,"Hake",2.614,0.0738,108.032701000837,0.36,"LSTegg MLDyolk PUTpjuv",2.05482518,1.80778137
"75",75,"Hake",2.186,0.123,108.058217177936,0.32,"DDspawn MLDyolk PUTpjuv",2.08466668,1.9765847
"76",76,"Hake",2.098,0.147,105.973474738751,0.4,"MLDpjuv MLDyolk PUTpjuv",2.53887298,2.12736061
"77",77,"Hake",2.356,0.2355,106.292976340038,0.44,"DDspawn LSTegg MLDyolk",2.08466668,1.9765847
"78",78,"Hake",2.93,0.114,106.923875083311,0.4,"LSTegg MLDpjuv MLDyolk",2.05482518,1.80778137
"79",79,"Hake",2.616,0.249,105.778668558588,0.36,"DDspawn MLDpjuv MLDyolk",2.08466668,1.9765847
"80",80,"Hake",2.162,0.0855,107.938385574139,0.32,"DDlarv SSHjas.pre SSHmsc",2.11367847,1.803154
"81",81,"Hake",1.988,0.1021,107.257964196878,0.56,"DDlarv PUTpjuv SSHjas.pre",2.11367847,1.803154
"82",82,"Hake",2.227,0.0879,108.039526939448,0.28,"DDlarv MLDlarv SSHjas.pre",2.11367847,1.803154
"83",83,"Hake",2.252,0.0944,107.471519617974,0.44,"DDlarv MLDpjuv SSHjas.pre",2.11367847,1.803154
"84",84,"Hake",2.14,0.1158,107.695149844588,0.36,"DDlarv PUTpjuv SSHmsc",2.11367847,1.803154
"85",85,"Hake",2.646,0.0745,108.014547209457,0.28,"DDlarv MLDlarv SSHmsc",2.11367847,1.803154
"86",86,"Hake",2.961,0.1953,105.668182828515,0.4,"DDlarv MLDpjuv SSHmsc",2.11367847,1.803154
"87",87,"Hake",2.142,0.093,107.509053804671,0.36,"DDlarv MLDlarv PUTpjuv",2.11367847,1.803154
"88",88,"Hake",2.112,0.1439,106.06408473739,0.4,"DDlarv MLDpjuv PUTpjuv",2.11367847,1.803154
"89",89,"Hake",2.143,0.0949,107.520972365947,0.4,"SSHjas.pre SSHmsc SSHmsn.pre",2.36781091,2.13703731
"90",90,"Hake",1.974,0.0734,108.044435095281,0.48,"CSTlaten SSHjas.pre SSHmsn.pre",2.03635508,1.76311388
"91",91,"Hake",1.967,0.1022,107.253999820474,0.56,"PUTpjuv SSHjas.pre SSHmsn.pre",1.95995918,1.82521795
"92",92,"Hake",2.165,0.0754,107.989574783642,0.4,"LSTegg SSHjas.pre SSHmsn.pre",2.05482518,1.80778137
"93",93,"Hake",2.272,0.0697,108.142632351365,0.28,"MLDlarv SSHjas.pre SSHmsn.pre",2.14604144,1.79517051
"94",94,"Hake",2.295,0.0979,107.373655963624,0.4,"MLDpjuv SSHjas.pre SSHmsn.pre",2.53887298,2.12736061
"95",95,"Hake",2.201,0.1988,105.613716353321,0.48,"PUTpjuv SSHjas.pre SSHmsc",1.95995918,1.82521795
"96",96,"Hake",2.538,0.0715,108.093678118013,0.4,"LSTegg SSHjas.pre SSHmsc",2.05482518,1.80778137
"97",97,"Hake",2.476,0.1041,107.200800892402,0.32,"MLDlarv SSHjas.pre SSHmsc",2.14604144,1.79517051
"98",98,"Hake",2.243,0.1549,106.972011213512,0.4,"SSHjas.pre SSHmsc Tspawn",2.36781091,2.13703731
"99",99,"Hake",2.218,0.1555,106.958243168845,0.4,"DDspawn SSHjas.pre SSHmsc",2.08466668,1.9765847
"100",100,"Hake",2.389,0.1944,105.674797363133,0.44,"MLDpjuv SSHjas.pre SSHmsc",2.53887298,2.12736061
"101",101,"Hake",1.941,0.1222,106.69251214312,0.56,"CSTlaten PUTpjuv SSHjas.pre",2.03635508,1.76311388
"102",102,"Hake",1.995,0.098,107.37145449093,0.48,"CSTlaten MLDlarv SSHjas.pre",2.03635508,1.76311388
"103",103,"Hake",2.081,0.1261,106.579453490227,0.44,"CSTlaten MLDpjuv SSHjas.pre",2.03635508,1.76311388
"104",104,"Hake",2.171,0.1124,106.968014107853,0.48,"LSTegg PUTpjuv SSHjas.pre",2.05482518,1.80778137
"105",105,"Hake",1.863,0.1581,105.648134862863,0.44,"MLDlarv PUTpjuv SSHjas.pre",2.14604144,1.79517051
"106",106,"Hake",2.059,0.3126,103.728930823225,0.52,"PUTpjuv SSHjas.pre Tspawn",1.95995918,1.82521795
"107",107,"Hake",2.072,0.3032,104.000055114449,0.52,"DDspawn PUTpjuv SSHjas.pre",2.08466668,1.9765847
"108",108,"Hake",1.944,0.163,105.500084753005,0.48,"MLDpjuv PUTpjuv SSHjas.pre",2.53887298,2.12736061
