"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"1",1,"Petrale Sole",0.455,6e-04,32.4117136658042,0.68,"DDpre  ",0.58378999,0.46309502
"2",2,"Petrale Sole",0.437,8e-04,32.4064830726464,0.72,"Tpre.a  ",0.550227,0.45983282
"3",3,"Petrale Sole",0.45,0.1475,29.4218519392137,0.68,"DDlarv  ",0.51309359,0.4282422
"4",4,"Petrale Sole",0.459,0.1423,29.6854422512764,0.68,"DDpjuv  ",0.54753561,0.44333588
"5",5,"Petrale Sole",0.469,0.1296,30.281540437836,0.72,"MLDegg  ",0.50279173,0.47379366
"6",6,"Petrale Sole",0.442,0.0594,30.8973510201741,0.72,"LSTegg2  ",0.46542383,0.44165921
"7",7,"Petrale Sole",0.445,0.2269,27.6860483935839,0.68,"LSTlarv  ",0.43879142,0.42588293
"8",8,"Petrale Sole",0.436,0.0023,32.370189013957,0.72,"LSTbjuv.a  ",0.51887463,0.43713446
"9",9,"Petrale Sole",0.437,0.0108,32.1550772928206,0.72,"LSTbjuv.b  ",0.55260586,0.46390328
"10",10,"Petrale Sole",0.426,0.063,30.8014940386201,0.68,"CSTegg1  ",0.56662163,0.42637825
"11",11,"Petrale Sole",0.54,0.0725,31.6393833822185,0.68,"CSTegg2  ",0.50656675,0.63758781
"12",12,"Petrale Sole",0.42,0.0706,30.5971348306465,0.68,"CSTlarv  ",0.46718358,0.42374213
"13",13,"Petrale Sole",0.41,0.1434,28.5569881089207,0.72,"CSTpjuv  ",0.41937974,0.39949727
"14",14,"Petrale Sole",0.424,0.1635,27.9632270940909,0.76,"CSTbjuv.a  ",0.37396257,0.34929879
"15",15,"Petrale Sole",0.444,0.0499,31.1486905667413,0.72,"CSTbjuv.b  ",0.5591298,0.44288574
"16",16,"Petrale Sole",0.494,0.001,34.4025943178131,0.68,"DDpre Tpre.a ",0.58378999,0.46309502
"17",17,"Petrale Sole",0.482,0.1857,30.7763952396037,0.64,"DDlarv DDpre ",0.51309359,0.4282422
"18",18,"Petrale Sole",0.482,0.1837,30.8672065917758,0.68,"DDpre MLDegg ",0.58378999,0.46309502
"19",19,"Petrale Sole",0.462,0.0665,32.7078631961868,0.72,"DDpre LSTegg2 ",0.58378999,0.46309502
