"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"1",1,"Sablefish",1.579,0.0016,94.1184114194464,0.44,"Tpre  ",1.40298752,1.2361816
"2",2,"Sablefish",1.531,0.0332,93.3134667837397,0.44,"Tspawn  ",1.5932116,1.33666149
"3",3,"Sablefish",1.547,0.0096,93.9168113192882,0.36,"DDlarv  ",1.57327189,1.35891122
"4",4,"Sablefish",1.639,0.047,92.9547359720399,0.4,"DDpjuv  ",1.74392565,1.43421252
"5",5,"Sablefish",1.496,0.0039,94.0598601537759,0.56,"MLDegg  ",1.25917847,1.15302798
"6",6,"Sablefish",1.526,0.0019,94.1123770729273,0.44,"LSTegg  ",1.27779859,1.19580117
"7",7,"Sablefish",1.503,0.0394,93.1528695722666,0.44,"LSTlarv  ",1.32763276,1.17233443
"8",8,"Sablefish",1.507,0.0908,91.9452995473053,0.48,"LSTpjuv  ",1.19005148,1.05893525
"9",9,"Sablefish",1.426,0.3021,86.9582476119872,0.6,"LSTbjuv  ",1.04552781,1.16362404
"10",10,"Sablefish",1.436,0.1784,90.6108088104773,0.48,"CSTegg  ",1.44196766,1.32561473
"11",11,"Sablefish",1.449,0.1354,91.9886275734298,0.56,"CSTyolk  ",1.30898311,1.51727085
"12",12,"Sablefish",1.706,0.054,94.7713404580649,0.44,"Tpre Tspawn ",1.40298752,1.2361816
"13",13,"Sablefish",1.865,0.0695,94.3579405981347,0.32,"DDpjuv Tpre ",1.74392565,1.43421252
"14",14,"Sablefish",1.62,0.0057,96.0159480212033,0.24,"LSTegg Tpre ",1.27779859,1.19580117
"15",15,"Sablefish",1.579,0.0478,94.9352727715778,0.36,"LSTlarv Tpre ",1.32763276,1.17233443
"16",16,"Sablefish",1.629,0.0885,93.8509132156453,0.44,"LSTpjuv Tpre ",1.19005148,1.05893525
"17",17,"Sablefish",1.455,0.3123,88.5922423534614,0.56,"LSTbjuv Tpre ",1.04552781,1.16362404
"18",18,"Sablefish",1.741,0.184,92.4409293111897,0.36,"CSTegg Tpre ",1.44196766,1.32561473
"19",19,"Sablefish",1.637,0.1351,93.9690363682998,0.44,"CSTyolk Tpre ",1.30898311,1.51727085
"20",20,"Sablefish",1.639,0.0643,95.0453870809196,0.44,"DDlarv Tspawn ",1.57327189,1.35891122
"21",21,"Sablefish",2.018,0.0744,94.226457552564,0.56,"DDpjuv Tspawn ",1.74392565,1.43421252
"22",22,"Sablefish",1.558,0.0384,95.1790895881958,0.52,"MLDegg Tspawn ",1.25917847,1.15302798
"23",23,"Sablefish",1.582,0.0338,95.2997772084979,0.4,"LSTegg Tspawn ",1.27779859,1.19580117
"24",24,"Sablefish",1.564,0.0692,94.3668036230163,0.56,"LSTlarv Tspawn ",1.32763276,1.17233443
"25",25,"Sablefish",1.552,0.1647,92.0746715954844,0.56,"LSTpjuv Tspawn ",1.19005148,1.05893525
"26",26,"Sablefish",1.537,0.3661,86.5838211882345,0.56,"LSTbjuv Tspawn ",1.04552781,1.16362404
"27",27,"Sablefish",1.491,0.2069,91.6776166614212,0.4,"CSTegg Tspawn ",1.44196766,1.32561473
"28",28,"Sablefish",1.503,0.1637,93.1331880278941,0.64,"CSTyolk Tspawn ",1.30898311,1.51727085
